"X"	"ERR4856242"	"ERR4856124"	"ERR4856128"	"ERR4856134"	"ERR4856138"	"ERR4856140"	"ERR4856144"	"ERR4856148"	"ERR4856152"	"ERR4856158"	"ERR4856160"	"ERR4856166"	"ERR4856170"	"ERR4856172"	"ERR4856178"	"ERR4856182"	"ERR4856184"	"ERR4856188"	"ERR4856194"	"ERR4856196"	"ERR4856200"	"ERR4856206"	"ERR4856210"	"ERR4856212"	"ERR4856216"	"ERR4856222"	"ERR4856226"	"ERR4856230"	"ERR4856232"	"ERR4856238"	"ERR4856123"	"ERR4856127"	"ERR4856133"	"ERR4856137"	"ERR4856139"	"ERR4856143"	"ERR4856147"	"ERR4856151"	"ERR4856157"	"ERR4856159"	"ERR4856165"	"ERR4856169"	"ERR4856171"	"ERR4856177"	"ERR4856181"	"ERR4856183"	"ERR4856187"	"ERR4856193"	"ERR4856195"	"ERR4856199"	"ERR4856205"	"ERR4856209"	"ERR4856211"	"ERR4856215"	"ERR4856225"	"ERR4856229"	"ERR4856231"	"ERR4856237"	"ERR4856241"	"ERR4856221"	"ERR4856125"	"ERR4856129"	"ERR4856131"	"ERR4856135"	"ERR4856141"	"ERR4856145"	"ERR4856149"	"ERR4856153"	"ERR4856155"	"ERR4856163"	"ERR4856167"	"ERR4856173"	"ERR4856175"	"ERR4856179"	"ERR4856185"	"ERR4856189"	"ERR4856191"	"ERR4856197"	"ERR4856201"	"ERR4856203"	"ERR4856207"	"ERR4856213"	"ERR4856217"	"ERR4856219"	"ERR4856223"	"ERR4856227"	"ERR4856233"	"ERR4856235"	"ERR4856239"
"G000156675"	1.06906737937825	1.75103001765745	1.60593430963943	2.45387606519401	1.53924267122739	0.572028951669391	1.6839830966225	0.349052919351689	0.7673283023654	1.3635410111181	0.78153531517055	3.3559101519152	6.54105936722361	0.743046006127717	0	1.58626425855513	0.291877269167794	0.302382181576812	1.71144718848041	1.40614921522253	1.86023940472339	0.388559093362115	1.15520216037807	0	2.24508355121064	1.88474084813338	1.39208467556374	2.28268009634333	1.33024396892463	0.457304734925132	0.732773903793878	3.38440549900304	0.687117760288492	1.45475795042136	0.362957220381986	0.650746782100163	0.372330881033555	0.721376163758555	1.55496901537755	1.25649054659321	2.68987962200525	8.91588441008651	1.22093023255814	0.157690111742476	3.09227367931115	0.61284775803536	0.284556014656584	2.00424050886106	2.2866289372892	0.740098679823976	1.47695441813089	1.34590586718246	0	4.41319107662464	2.56028710228019	1.98520825223822	2.29488525573721	0.408820614469772	1.797464291446	5.82375478927203	0	5.19570488396259	0.736444812666851	1.17715028526035	0.734389266007701	0.365026942464801	0.448264517190327	0.639536472710378	1.22063262895393	1.98717174158208	10.0389026423483	0.496875929782803	0.192988099067224	2.08442539545497	0.271530180699731	0.325009588792216	2.56329521546851	2.93726580442403	0	2.01501382852627	3.2568869588818	0	4.84805901984894	2.15181127233244	1.94330361614745	1.42341619887731	2.32878317417541	0.3027775203139	0.878526778171988
"G000321205"	0	0.985874043555032	0	0.0992802184164805	0	0	0	0	0	0	0	0	0	0	0	0.0594106463878327	0	0	0	0	0	0	0	0	0.0738888257360464	0	0	0	0	0	0.298428081787023	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0552711193856179	0	0	0	0.280112044817927	0	0	0	0	0.848690591658584	0	0	0	0	0	0	0.867001907404196	0.316690583403434	0	0	0	0	0	0	0	0	0	0	0	0.249761031112207	0	0	0	0.374712921552037	0	0	0	0	0.8607061303355	0	0	0	0	0	0
"G000332875"	0.647067098044732	2.52354326074161	1.13180132298398	3.12567220981219	1.85991822773309	0.3560588372636	0.794331649350237	1.65739113454403	2.12864903714038	2.1019509125236	1.98670659557373	6.34064210002679	2.18627799502311	1.23760584786857	1.94070678692888	3.61810836501901	0.57948316366484	2.94269488900361	1.32933794545893	3.03160610621372	1.74700744095762	0	2.73797914635061	4.32440520724226	1.43230646811413	0.616165277274375	1.15431814695505	1.83380775125903	0.858661578301758	0.667745851881829	2.12445337430564	15.5997481372652	1.49119173509417	3.5461647290398	0.465149059130312	0.44147579049967	2.83958370715952	3.44657500462421	4.94606380537067	1.99770105830592	4.43869348704074	2.00993926007731	0.945736434108527	1.37027269514151	2.79264603211543	0.846523521890569	2.99368519529118	1.33616033924071	2.83541988223861	2.04693959194559	1.18411000763942	3.32849774339136	1.17631961673368	1.63676042677013	1.48803011072695	1.85383417672246	0.494975251237438	0.437727122563594	1.03247204836035	1.82375478927203	1.49124328073522	2.61269731307833	0.819294854091871	4.64360511302087	0.527966337183915	0.735847963381424	1.05280473762132	2.55541282899232	2.19188869930437	5.7807717093604	2.12701460112161	0.410592085688783	2.7804581680426	2.73503746415467	0.615148019992311	3.51454468377173	1.38541025604328	4.39985494983682	0.47251181279532	1.53101540892928	2.38159858868232	2.54945667316801	1.75654312313367	0.750172737143421	0.956626264649905	1.4635124298316	0.805553928173882	0.466524546606111	0.547389761784085
"G000434535"	0.248511276785296	0.529723366686286	0.141475165372997	0.549350541904525	0	0.0583703011907541	1.28363994534998	0.0829916032024995	0.460819751833767	0	0	0	0.43547813722005	0.183349014499047	0.432500369658436	0.196055133079848	0.452765715099309	0	0.744107473252353	0	0.436751860239405	0	0.742629960243043	0.673350291785126	0.0738888257360464	0.157061737344448	0.249271360638135	0.936063061090431	0.242605969742402	0	0	0.498478329310526	0.33381252893448	0	0.0986679822397632	0.63354642662615	0.233267539924637	0	0	0	0	0.519050248481502	0.476744186046512	0.206628422283244	0.20363043984175	0.167541113707508	0	0.7520902508301	0	0.426723563141752	0.17825311942959	0.757575757575758	0.346479596201557	0.0848690591658584	0	0.184896847022188	0.47697615119244	0	0.176536671481303	0	0.208080457777007	1.34593497946459	0.21172788364172	0	0	0.341850628657512	0	0.240509442728689	0	0	0.520385995048755	0.205296042844392	0.0964940495336121	0.194258579753939	0.201845444059977	0	0.296260251034048	0.0967001087876224	1.05752643816095	0	0.529244130818293	0.37614934522151	0	0	0	0.120288692862871	0.289999414142598	0	0.24666328771752
"G000434815"	0	0	2.71861736703246	0.953090096798213	0	0	0	1.19605545791838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35757017947538	0	1.13943028485757	0.291380008093889	0	0.975968097386924	0	0	0	0	0.619056163646151	0	0	0	0	0	0	0.133220956472092	0	0	0	0	0	0	0	0	0	0	2.4027309729091	0	0.455977201139943	0.177568549719194	0	0	0	1.03914097679252	0	0	0	1.20516831797903	1.28310577397598	0	0	0	0.0378921841054918	0	0	0	0	0	0	0	0	1.43717898064006	0	0	0	0	1.84814184112992	0	1.9040365575019	0.342941885253499	0
"G000469345"	0	0	0	0.0446760982874162	0.384810667806846	0	0.359037905506307	0.222124585041984	0	0	0	0	0.364379665837185	0	0	0	0.0455613298213142	0	0	0	0	0	0	0	0	0	0	0.339391285307642	0	0	0	0	0.11695621451719	0.787353140185766	0.133906547325393	0.160536651090789	0.165978826484838	0	0	0.317095406080304	0	0	0.0852713178294574	0.25284793779397	0	0	0	0	0.154347453267021	0	0	0	0	0	0	0.136239782016349	0	0	0.176536671481303	0	0	0.227621356821218	0	0.689680075106521	0	0.110087490584623	0.131600592202665	0	0	0	0.0757843682109837	0	0.46460097923591	0	0.136966551326413	0	0.0701292381674801	0	0	0.103713947056499	0.189985072601438	0	0	0	0	0	0	0	0.24666328771752
"G000518685"	0.46888920148169	0	0.623255458264826	0.162157690080251	0	0.455288349287882	0.444825723636133	0.544327279828159	0	0.209775540172016	1.44620553648382	0	0	0.697208752502955	0	0	0.93400726133694	0.644098630675812	0	1.16104063642227	0	0	0	0	0.267136523814937	0.700736981998309	0	0	0	0.222581950627276	1.0164283181657	0.220379892958338	0.331375941132039	0	0.909154979209247	0.653613508012499	0.628027992104791	0.157223010049941	0.401652513197154	1.10983392128107	0	0	0	0.285473478154482	0	2.47784489220052	0.319638263038902	0	0.851769279140228	0.213361781570876	0	0	0	1.06692531522793	0	0.291942390035033	0	0.648331681532871	0.310276574118654	0.85823754789272	0	0.925330298381909	1.19672282058363	0	0.658965503552856	0.396894373949823	0.505839776278993	0.502883380250895	0	0	0	0	1.38308137664844	0	2.26355247981546	0.234168399378243	0.312003549398177	0.640638220717998	0	0	0	0	0	0.720560655414076	0	0.193798449612403	0.298787275177222	0.596286341026354	0.513600270315932
"G000598965"	0	0	0	0	0.748242965179979	0	0.0667238585454199	0.251415739113454	0.0422770414526391	0.0209775540172016	0	0	0	0.0192998962630576	0	0	0	0.213880079651892	0.168932507441075	0	0	0	7.80136523891681	0	0	0	0	0	0.321657353141611	0	0	0	0	0.630497631789383	0	0	0.0358873138345595	0	0	0	0	0	0.251937984496124	0	0.0843611822201536	0	0.549621891322991	0.268032163859663	0	0	0	8.58317214700193	0	0	0	0	0.845957702114894	0	0	0	0	0	0	0.292482126092294	0	0.0376615099368445	0	0	0	0.0156073787659095	0	0.029753049687593	0	0.0462520427985569	0	0.605607929426489	0.101615834895736	0	0	0.301264322402213	1.96770253765776	0	0	0	0	0	0.42181732966196	0	0
"G000999385"	0	0.235432607416127	0.065002103009215	0.191941755605196	0	0.070044361428905	0	0	0	0.197189007761695	0	0	0	0.0313623314274686	0	0	0	0	0.253398761161612	0	0	0	0	0	0	0	0.0191747200490873	0	0.0545181954477307	0	0.112279872355514	0.152167068947424	0.00974635120976584	0	0.133906547325393	0	0	0.0770701029656576	0.195088363552903	0	0	0	0	0	0.0290900628345357	0	0	0.32403888466616	0	0	0	0	0	0	0	0	0.047997600119994	0	0	0	0.381480839257846	0.143500420604681	0	0	0.119090151244492	0	0	0	0.809380058625366	0	0.0277876016773607	0.136864028562928	0	0	0	0	0.0500923129767715	0	0.225005625140628	0.0444488344527855	0	0	0	0	0	0	0.0497978791962036	0	0
"G001821375"	0.131288976414873	1.76574455562095	0.233242840209536	0.551005212211467	2.6135057855215	6.72425869717488	1.29317192514219	0.236770162077719	0.587650876191684	1.8628067967275	0.430940033598714	0.164542915088203	0.399928901528617	0	0.469466213218986	0.166349809885932	0.381576137253506	0.275339872655309	0.261443166277854	0.279509782842399	2.62051116143643	0.259039395574744	0.375065636486385	0.299266796348945	0.125042628168694	0	0.302960576775579	0.262754543463981	0.798691563309254	0.384459732901659	1.13461765748729	0.372546961905761	0.828439852830097	12.0102109860368	11.5089153569667	0.13473611787977	0.143549255338238	0.585732782538998	1.91071838420932	0.16647508819216	0.497980629729836	0.927664273881833	0.0968992248062016	0.26372311791414	0.133814289038864	0.242493717208236	0.615888360489592	0.22002640316838	2.41239352884011	0.286704893985865	5.94601476954418	0.523855577047066	0.166823509282231	0.739573229873909	0	0.233553912028026	2.49287535623219	0.433597621407334	0.486813245599957	0.597701149425287	1.62996358591989	0.371121777425899	1.42686182454202	2.92482126092294	16.5495613512762	0.446144040790312	0.386576739595328	0.560277679083878	1.68876055475347	0.178729660061221	0.57090890718941	0.107110978875335	0.221578928558665	0.444019610866147	0.612745098039216	0.468336798756485	0.45369323467533	2.52629034207663	1.6350408760219	2.93362307388384	0.637807029447686	0.473669545834494	0	0.404698450301056	0.130221376339778	0.0735097567495322	1.50858281094382	0.0957765625482745	0.307484372360196
"G002160525"	0	1.93496174220129	0	0	1.61139467144117	0	3.74924538493312	0	0.505210645359038	0	0	1.7602265335017	0	0	1.72260830992163	0	0	0	8.58539136030891	0	2.24846328049175	1.02536427415003	2.09286625159403	0	0	0	0	0	4.72945345509064	0	2.077177638577	0	4.61489729782413	1.24869287076336	0	0	0	0.696713730809544	0	0	0.568560561502568	1.60868764954905	0	0	0.674889457761229	0	0	6.26075129015482	0	0	0	2.6434558349452	0	0	0	0	5.21373931303435	0	0	0	1.59528350962372	0.900588846553516	0	1.59962446739366	0	0	0	0	0.831255195344971	0.977223296278395	2.47562269489213	0	0	0	0	0	0	1.53511422700351	1.97254931373284	0	0	0	0	0	0	0	4.70443494053547	0	0
"G002408565"	0	0	0	0	0	0	0	0	0	0	0	0	0.319943121222894	0.159224144170225	0	0.362404942965779	0	0	0.0180999115115437	0	0	0	0	0	0	0	0	0	1.2348371268911	0	0	0	0	0	0	0	0	0	0	0	0	0.60003681207436	0	0	0.829066790784268	0	0	0	0	0	0	0	0	0	0	0	0.866956652167392	0	0	0	0	0	0	0	0	0	0	0	0.0831255195344971	0	1.0710857373819	0	0	1.99808824889766	0	0	0	0	0	0.859344132753852	0	0	0	0	0	0	1.33282559025133	0	0.0675789829363068
"G003150645"	0.351666901111267	0	0	0	0	0.723791734765351	1.9985384297652	0	0	0.205580029368576	0	0	0	0	0	0	0	0	0.203121229185102	0.262309180821329	0	0	0	0	0	0	0	0	0	0	0.0502304692116771	0	0	0	0.514483050250194	1.32729409741135	0	0	0.304108331420702	0	0	0	0	0	0	0	0	0.164019682361883	0.394443491682387	0	0	0	0	0	0	0	0	0	0.187235863692291	0	0	0	0	0	0.353300782025326	0	0	0	0.140000875005469	0	0	0	0	0	0	0	0.881624708391178	0.338450380756678	0	0	0	0	0	0	0	0	0	0	0.15205271160669
"G003481825"	1.04093402728935	0	0.527664130310098	0	0.219128296945565	1.23745038524399	0	0.739601640304628	0.050732449743167	0.444724145164674	0	0	0.466583718450053	0.48249740657644	0	0	0.533921833843525	0	0.0462553294183895	0.369812943453021	0	0	0	0	0	2.52506946961459	0	0	0	0	0	0	1.28164518408421	0.575136864120071	1.86059623652125	0.656480233924834	0.740175847837789	0.215796288303841	0.367225154923112	0.475643109120457	0.14900207818688	0.839315295416897	0.275193798449612	0.674261167450586	0.258901559227368	0.564349014593713	0	0	0	0	1.10771581359817	0	0	0.860814742967992	0	0.729855975087583	0	0	0.898732145722998	0.796934865900383	0	0.227621356821218	1.26116174169198	0.426085072578898	1.97689651065857	0.761921316414624	0.921204145418654	0.437289895870344	0.345627160169751	0.0432978894796198	0.631536401758197	0.199345432906873	0.625424395125263	0.955875551170177	0.889081122645137	0	1.04335131885904	0	0	0.755630185697353	0.617451485954675	0	0	2.67495804955088	0.415706701392367	0.922213311948677	0.263635831038725	0	0.935968913667849
"G900538515"	0	0.132430841671572	0.13000420601843	0.244891205427319	0.0400844445632132	0.0350221807144525	0	0.0292911540714704	0.0317077810894794	0	0	0	0	0	0	0.0118821292775665	0	0.0417926592423237	0.309709596975304	0	0	0	0.0900157527567324	0	0	0	0.145727872373063	0.13137727173199	0.128117759302167	0.202347227842979	0.209786077295828	0.50897260992759	0	0.0461339730577597	0.0810486996969483	0	0.134577426879598	0.030828041186263	0	0	0	0	0	0	0	0	0	0.308036964435732	0	0	0	0.0805931656995487	0	0	0.0087531182983938	0.0243285325029194	0.0869956502174891	0.0495540138751239	0	0	0	0.465139294373794	0	0.166100960496859	0	0.0405585491627557	0.111037999670999	0.0327967421902758	0	0	0	0	0	0.0431685732786531	0	0.0504673274522074	0.174607490947603	0	0	0	0.189985072601438	0	0	0.0987069390978186	0	0.0801924619085806	0.0761614623000762	0.336762752185868	0
"G900538815"	0	0	0	0.186977744684372	0	0	0.196994249038859	0	0	0.180406964547934	0	0	0	0	0	0	0	0	0.160888102324833	0.322511287895076	2.05435134260757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51449151089007	0	0.89126559714795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441877761736011	0	0	0	0	0	0	0	0.0644044023987062	0	0	0	0	0	0	0	0	0	0	0	0
"G900539055"	0	0	0.722670439337743	0.21014312898155	0	0	0	0.312438976762351	0	0	0	0	0	0	0	0	0.0370185804798178	0	1.5445257823184	1.5566544829069	0	0	0	0	0	0.531593572550441	0	0	0	1.95872116552003	0	0.975968097386924	0	0	0	0	0.870267360488067	0	0	0	0	0	0	0	0	0	0	1.56818818258191	0.886068713199565	0	0	0	0	0	0	0	0	2.02758506772382	0	0	0	0.197931614627146	0	0	0	1.32394692624138	1.47639414377365	0	0	0	0	0	0	0	0.0696847366397539	0	3.80558457729244	0	0	0	0	0	0	0	0	0	0	0.135940927487873	0
"G900539105"	0	0	0.535311436546477	0.569206585587822	0	0	0	0.356375707869557	0	0	0.628149879482872	0	0	0.29673590504451	0.410320863522106	0	0.818680145226739	0	0	0	0	0	1.13269822218888	0	0.80709332727066	0	0	0.31749507335231	0	0.433023067583974	0	0.771329625354182	1.14763285494993	0	0	0	0.650457563251391	0	0	0.424115105632407	0	0	0.748062015503876	0.29362986324461	0	0.820069661831489	0	0	0	0	0	0.878465506125081	0	1.29728419010669	0	0.243285325029194	0	0.297324083250743	0.149788690953833	0	0	0.549260230590331	0	0	0	0.298395040268845	0.530514887316993	0	0	0	0	1.19012198750372	0.389550051820878	0	0.944348327566321	0	0	0	0	0	0.597095942461664	0	0.930967855260847	0	0	0.267308206361935	0	0.278060988043378	0.182463253928028
