"X"	"SRR10022095"	"SRR10022096"	"SRR10022097"	"SRR10022098"	"SRR10022099"	"SRR10022100"	"SRR10022101"	"SRR10022102"	"SRR10022103"	"SRR10022120"	"SRR10022121"	"SRR10022122"	"SRR10022123"	"SRR10022124"	"SRR10022125"	"SRR10022126"	"SRR10022127"	"SRR10022128"	"SRR10022129"	"SRR10022157"	"SRR10022158"	"SRR10022162"	"SRR10022180"	"SRR10022181"	"SRR10022182"	"SRR10022199"	"SRR10022200"	"SRR10022201"	"SRR10022203"	"SRR10022204"	"SRR10022205"	"SRR10022206"	"SRR10022207"	"SRR10022229"	"SRR10022230"	"SRR10022231"	"SRR10022232"	"SRR10022233"	"SRR10022234"	"SRR10022235"	"SRR10022238"	"SRR10022239"	"SRR10022240"	"SRR10022258"	"SRR10022259"	"SRR10022268"	"SRR10022269"	"SRR10022270"	"SRR10022271"	"SRR10022272"	"SRR10022104"	"SRR10022163"	"SRR10022165"	"SRR10022178"	"SRR10022183"	"SRR10022225"	"SRR10022237"	"SRR10022251"	"SRR10022262"	"SRR10022279"	"SRR10022110"	"SRR10022175"	"SRR10022189"	"SRR10022194"	"SRR10022214"	"SRR10022256"	"SRR10022257"	"SRR10022267"	"SRR10022273"	"SRR10022115"	"SRR10022160"	"SRR10022167"	"SRR10022168"	"SRR10022170"	"SRR10022173"	"SRR10022208"	"SRR10022219"	"SRR10022245"	"SRR10022284"
"G000173975"	0.497727180759944	0.315985632106301	0.38913585458191	0.410675007310778	0.220780189453271	0.589703701023841	0.727138733648591	1.07928660736099	1.22076756585546	0.271930092578447	0	0.410718426021	0	0	0	0	0.207205400708509	0.220777330292591	0.397504215021475	0.855061457542261	0.394889136009804	0.314378329071036	0.149659553077732	0.206172178119775	0.383228133453562	0.420384036421045	0.529485818666535	0.354797478954559	0.0621511192956207	0.0518985202887006	0.0801545995564047	0.0614380983232984	0	0.15263485925794	0.17282433366618	0.211278426551936	0.425246195165622	0.705417607223476	0.680062688906302	0.451653850127673	0.272651921650744	0.360371291633804	0.391056226026756	0.463171975587325	0.287351406824596	0.511123119877511	0.453175935987356	0.323060286563936	0.226917981610462	0.332509827685328	0	0.134609430736717	0.638086811978873	0.050562656538457	0.761988676228238	0.294355728898374	0.180438359072335	0.483312890174469	0.474676653747333	1.31640354688682	0.880900725667689	1.3331407227026	0	0	0.507982583454282	0	0.188619406099251	0.381086170308157	0	0.449504190101873	0.187142710937614	0.12436285929481	0.431874588106623	0	0.450051142175247	0	0	0.45973214408611	0.0911421939748934
"G000247525"	0.113303748465678	0.0513139060685446	0.0672743341819573	0.0368717498823918	0.195420302826881	0	0	0	0	0.43997677900333	0	0.414030671392137	0	0	0	0	0	0	0	0	0	1.30638041406721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124329276272739	0	0	0.0351141208929019	0	0	0	0	0	0	0	0.102303167359905	0	0	0.587400264330119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28584622489033
"G000248015"	0.178048747588923	0.255219164393551	0.122676727037687	0.0546719049980293	0.101439546505557	0.0410018933227211	0.318123195971258	0.0517367747869451	0.977933801404213	0.0229154572397568	0.183114613101018	0.051339803252625	0.219704967614917	0.0281707391756997	0.0268175601383786	0.0463182504935099	0.0855557783570617	0.101897229365811	0.147679584528102	0	0.0896443728298119	0.0553827108208044	0.019421468720011	0.0081170148866053	0.0237952109007114	0.438741417924147	1.54155661425292	0.182908017100798	0	0	0.0241561806882316	0.0457993096591861	0.0173492781461057	0.0432465434564164	0.00768108149627468	0.0102438024994878	0.0223813786929275	0.0313518936543767	0.00839583566550991	0.298150580803235	0.0152685076124417	0.0630953103197233	0.235756385068762	0.0702282417858039	0.0290772256905841	0	0.0135829299614739	0.00946201676128683	0	0.0124302739321618	0.260016546507505	0.153454751039858	0.0147457036381672	0.355114471502652	0	0.0573993671351829	1.46473491482248	0	0.0337499455646039	0.135180804325786	0.0841624897134735	0	0.0145808019441069	0.626920029469412	0	0.0119298524674912	0.02003037940877	0.0209223779777027	0.191432965738408	0.198775722256104	0.0731026214600056	0.0665604035662364	0.103762076363279	0.0315918335110374	0.593249232867371	0	1.23234103489109	0.450097039269934	0
"G000332875"	1.47294873005382	0.696788829772868	1.0275824770146	0.745063635554538	0.932348773029015	0.482375215561424	0.137566787447031	0.265869537099579	0.16232909254078	3.34412905985517	3.01584218849707	3.91341790599848	1.333923017662	2.65294874150285	2.34385475609429	2.42619407346957	1.23788516810374	3.25828521519724	2.99666490271607	0.274238460889376	3.21358055511427	3.09165838640843	1.1915642279395	0.73540154872644	2.73143973549745	0.684730330065719	1.53908814889783	2.64445325928864	0.443114461644703	1.48574601105559	0.845466324088104	2.36257414461411	2.87502323564037	1.20581538813773	1.49012981027729	1.33681622618316	1.37925246195166	1.90462753950339	3.66758087988358	1.86417912650736	2.75487501635912	1.3274282594188	1.94779680044906	3.98628877184182	1.35636705721372	2.60740340448527	2.38195199051665	2.17085698837524	2.63382258424166	2.19705091750959	3.18520269471694	2.87794962915102	1.16491058741521	3.588772738497	1.41302396919412	1.00228125689896	0.685931115002919	0.540065540157077	1.18886905021121	1.35663592912664	3.25241265803845	1.27742121881256	2.88861887403807	2.20742573569274	2.51572327044025	0.786044723691361	0.358877631073795	2.40308455629614	2.99748028404071	0.752185403537304	2.97235258856383	2.73773449405335	0.0883379839309001	1.20641314220274	0.82509376065462	2.26186186186186	1.40858645664087	0.958004707436924	1.64785086706607
"G000434815"	0	0	0	0	0	0	0	0	0	0	0.332935660183669	0	0.970125831026907	1.03129401677996	0.571214030947464	0.374957265899842	0	0	0	0	0	0	0	0	0	0	0	0	0.00460378661449042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0855624605962352	0.0518620962165366	0.0432549337658827	0.0485315914426999	0.0668127223853696	2.51861482094315	0	1.31102710528432	0	0	0	3.2823860319482	0	0.546531376562296	0	0	0	0	0	0	0.136530533794621	0.0500759485219249	0	0	0	0.026316943725602	0	0.0785226523830223	1.19851518382498	0	0	0	0	0
"G000469345"	0.0890243737944616	0.140438058713911	0.0870609030590035	0.0928150945315381	0.137241739389871	0.109740361540224	0.186697782963827	0.287426526594139	0.213799292614686	0.19096214366464	0.0860083788807813	0.112616342618661	0.0955859274688276	0.123706289423725	0.0804526804151358	0.101459024890546	0	0	0	0.284082918459764	0	0.125425550976527	0.107389297628296	0.0600659101608792	0.0488428013225128	0.414876821970114	0.408531016267187	0.250121204107717	0.0471888127985268	0.0868998479252661	0	0	0	0.0801333011104186	0	0.0371337840606433	0.0797336615935542	0.0501630298470028	0.0503750139930594	0.0324718454340157	0.187584522095712	0.248741127221986	0.718495649733371	0.197307917398211	0	0.108078897595245	0.263014916526721	0.155447418221141	0.183633048702108	0.0792429963175313	0.55194421463184	0.224797749330318	0.108581999517413	0.432722269910516	0.159903405289866	0	0.0742981478533142	0.126320414477418	0	0.621187981782777	0.192638587566395	0.0701653011948738	0	0	0.0559385582970489	0.0941132805768746	0.38892320018695	0.307857847386197	0.883536764946497	0.117458381333153	0.453236253052034	0	0.0645007501717683	0.023693875133278	0.998977156495056	0	0.0771073720155316	0.0688221772583997	0.0583310041439318
"G000508965"	0	0	0	0	0	0.0277365748947819	0	0.0388025810902088	0.109539143747031	0.131381954841272	0.11375301722942	0	0.0641995035238394	0.0379692571498561	0.0522942422698383	0.0518323279332135	0	0.0254743073414528	0.0270745904968187	0.0717239051556831	0	0.0472381945236272	0.0182790293835397	0.0129872238185685	0.0601142170123234	0.0312075485552741	0.0283873515835205	0.0319538102164044	0	0.0325874429719748	0	0	0	0.0165354430862769	0.00640090124689556	0.0204876049989756	0.0531557743957028	0.0517306245297216	0.0391805664390462	0.0856075925078597	0.205034245081359	0.0182005702845356	0.0261951538965291	0.163865897500209	0.0513127512186778	0.014635684049356	0.0246962362935889	0	0.0354149451068351	0	0.052003309301501	0	0.0978578514169281	0.0787836741413167	0	0.104496283758923	0.091545932176405	0	0.0435483168575535	0.0354044963710391	0.0411461060821426	0.0454010772437419	0.0502227622519239	0.0403119309414921	0	0.0318129399133097	0	0	0.109624006021139	0.0225881502563755	0	0.0402865600532483	0.0532832284027651	0.207321407416183	0.0767132628707808	0.0552552552552553	0.137691735742021	0	0.0388873360959545
"G000518685"	0.106559477723674	0.114781105679639	0.0382540331622894	0	0.0328186768106213	0	0	0	0	2.355709004247	0	0.155675532443443	0	0	0	0	0.0561459795468217	0.105536416128876	0.278129884194592	0	0.322265846628691	0.61898323858546	0.369007905680208	0.875014204776052	0	0.290046627749018	0.201179926439732	1.18669840010578	0	0	0	0	0	0.691944695302662	0.728422561896715	0.673530014341324	0	0	0	0	1.04698337913886	0.252381241278893	0.484610347085789	0.407992642755622	0.242880355768408	0	0	0	0	0	0	0.193837580260873	0.116625110592777	0.335124584033959	0.504185226883352	0.144234307160203	0.0185745369633286	0	0	0	0.121568040697239	1.54363662628722	0	0	0.592646347363329	0	0.330501260244704	0.439369937531757	0	0.189740462153554	0.713481585449654	0.0823247096740292	0	0.552857086443154	0.242072962836686	0.0684684684684685	0.137691735742021	0.0949746046165916	0.363353546646575
"G000701665"	0.165909060253315	0.240365138952656	0.225566885198327	0.148758439180684	0.213321399269039	0.350927969320936	0.361112817048455	0.327666240317319	0.55033521617484	0.328454887103181	0.166467830091835	0.412374548706568	0.136958940850857	0.3539714618164	0.277561747432219	0.122412519161419	0.608248111757235	1.28584598961619	0.747012565071317	0.400810058222935	1.30494973106688	0.563600527764656	0.201069323218937	0.50487832594685	0.417042380522994	0.244153173991262	0.261657327639407	0.651196615099828	0.62726592622432	0.560021242185048	0.818016118760568	0.712681940550262	0.980234215254972	0.100484615678144	0.327726143841053	0.129328006556034	0.781949418084154	0.44519688989215	0.646479346244263	0.782276276364924	0.250839767918684	0.162591761208518	0.368603236972589	0.610316863138534	1.08440947575473	0.543771953526074	0.402548651585498	0.490673154906732	0.72403887773974	0.329402259202287	0.930150100460938	0.231528220867154	1.35392369768627	1.31933257293369	0.270856788552222	0.771212009713739	0.157883564188293	0.313054940226644	0.0881853416365457	1.70585300696825	0.256228024238797	1.75413252987185	0	0.974436675516757	0.634978229317852	0.177622247849313	0.500759485219249	0.639626983889769	1.05533558035276	0.372704479230196	0.384519788879629	0.0735667618363665	0.179480348304051	0.167831615527386	0.470508012274122	1.30810810810811	0.480544157739652	0.0839630562552477	0.676882693920208
"G001821375"	2.55472975707137	3.49204634455938	3.8504663034732	2.97262590431145	3.18191989259342	2.9786669560918	2.93434870724068	2.66875529942658	3.31652853296732	4.07742369152739	4.7970479704797	3.50601172534861	2.52946043883927	2.34429542531692	2.93652283515246	3.20257617697983	9.1959093643473	1.9469649182396	2.26072830648436	3.0292802295165	1.89955291287475	3.18776367871512	1.15386372983595	1.34417766522184	7.53181043983569	4.60035980467746	4.93199377946731	2.12547930715325	0.18990619784773	0.294493929080069	0.0922326899005205	0.141866154310162	0.0495693661317306	0.746638853203424	1.3851550298282	1.19980536775251	4.34198746642793	5.8424253824931	5.08087988357775	6.47075319921477	2.8573921388998	4.92992780440454	5.11741042192909	2.94289775102416	3.24809715214231	1.60654777987931	0.614936283710363	0.396052987293863	0.686000603365732	0.995975698814463	1.90521214986408	2.04337115858337	0.40751762781844	1.90021518525922	3.41507987011927	1.6292589594525	8.4129384917476	0.56386503853688	3.65479249227017	0.925344791515795	2.24246278147677	3.03980849000144	2.12879708383961	0.800678352493084	1.91551765844219	1.78019909598229	1.42883373115892	1.2986818901874	0.0245426879151805	4.54473583158275	1.92990920654415	13.672908164159	3.51809526480362	5.82276981400308	5.34265257415615	1.86066066066066	3.45193181505246	2.49549214738957	1.26869934013052
