"X"	"SRR2467275"	"SRR2467278"	"SRR2467282"	"SRR2467285"	"SRR2467290"	"SRR2467293"	"SRR2467297"	"SRR2467300"	"SRR2467303"	"SRR2467306"	"SRR2467309"	"SRR2467312"	"SRR2467315"	"SRR2467318"	"SRR2467322"	"SRR2467324"	"SRR2467328"	"SRR2467330"	"SRR2467333"	"SRR2467337"
"G900541615"	0.406292322116887	0.354166666666667	0.789239662072032	0.148177417761533	0	0.0549702244617499	0.629060534185831	0.113224637681159	0.389334591788579	0.135858028360363	1.37258614161303	0	0.328382715127995	0.0642621897341152	0.608760207869339	0	0	0.113022730126837	0.169909564264182	0.523145212428662
"G900542245"	0	0.177083333333333	0.277901289461983	0	0	0	0.11343714550892	0.0679347826086956	0	0.0509467606351363	0.265051117001136	0	0.149264870512725	0	0.0965107646622123	0.147423960273122	0	0.0313952028130102	0.0548095368594135	0
"G900545235"	0.0833420147932076	0	0	0	0	0	0.11343714550892	0	0	0	0	0	0	0	0.170749814402376	1.90099317194289	0	0	0	0.0713379835129994
"G900545585"	0	0	0.300133392618942	0	0	0	0	0	0	0.0934023944977499	0	0	0.611985969102172	0.0722949634508796	0	0	0	0	0	0
"G900552765"	0	0	1.81191640729213	0.0889064506569199	0	0	2.73280395998763	0.577445652173913	0	0.203787042540545	0	0	0.261213523397268	0	0.200445434298441	0	0	2.72510360416928	0.180871471636065	0
"G902363055"	0	0.229166666666667	0.144508670520231	0	0.288307528029899	0.568025652771415	0	0.283061594202899	0	0.28020718349325	0	0.439146800501882	0.201507575192179	0.498031970439393	0.408314773570898	0.341402855369336	0	1.29348235589602	0.652233488627021	0.126823081800888
"G902363825"	0	0.208333333333333	0	0	0.0854244527495996	0	0	0.215126811594203	0.0589900896649363	0	0	0	0.186581088140906	0	0	0	0	0.383021474318724	0.60838585913949	0
"G902387315"	0	0	0	0.108663439691791	0	0.137425561154375	0.0721872744147675	0	0.0825861255309108	0.101893521270273	0.11359333585763	0.188205771643664	0	0	0	0.116387337057728	0	0.113022730126837	0	0
"GB-GCA-000980215.1-LARH01000082.1"	0	0	0.611382836816363	0	0.950347036839295	0.888685295464956	2.52655460451686	4.48369565217391	0	0	0	1.05753719304535	0	1.82343963370552	0	1.51303538175047	2.39318984902024	0	1.69361468895588	0.562777425491439
"GB-GCA-000980245.1-LARE01000133.1"	0	0	0	0	0.213561131873999	0.210719193770041	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GB-GCA-000980395.1-LARI01000033.1"	0.135430774038962	0.145833333333333	0.511338372610049	0.158055912278969	0	0	0.237186758791379	0	0.684285040113261	0.653816761484249	0.312381673608482	0	0.798567057243078	0	0.423162583518931	0	0	0.521160366695969	0.131542888462592	0
"GB-GCA-000980425.1-LARJ01000053.1"	0.354203562871132	0	0.177856825255669	0.35562580262768	0	0.448923499770957	0	0	0.412930627654554	0.1868047889955	0.795153351003408	0.591503853737229	0.350772445704903	0.265081532653225	0.460282108389013	0.434512725015518	0.971731448763251	0.514881326133367	0.40559057275966	0.221940393151554
"GB-GCA-001643435.1-LWLJ01000011.1"	0	0	0	0	0	0	0	0	0	0.271716056720727	0	0	0	0	0	0	0	0.571392691196785	0	0
"GB-GCA-003096855.1-QEOA01000010.1"	0	0.166666666666667	0.233437083148066	0.405018275214857	0.256273358248799	0.0641319285387082	0.340311436526761	0	0	2.08881718604059	0	0.250941028858218	0.0597059482050899	0	0	0	0	0	0.570019183337901	0
"GB-GCA-003202935.1-BFBU01000001.1--5"	0	0	0.211204979991107	0	0	0	0	0.0905797101449275	0.224162340726758	0	0	0	0	0	0	0	0	0	0.230200054809537	0
