"X"	"SRR3053238"	"SRR3053239"	"SRR3053240"	"SRR3053241"	"SRR3053246"	"SRR3053247"	"SRR3053248"	"SRR3053249"	"SRR3053254"	"SRR3053255"	"SRR3053256"	"SRR3053257"	"SRR3053262"	"SRR3053263"	"SRR3053264"	"SRR3053265"	"SRR3053270"	"SRR3053271"	"SRR3053272"	"SRR3053278"	"SRR3053279"	"SRR3053280"	"SRR3053281"	"SRR3053286"	"SRR3053287"	"SRR3053288"	"SRR3053289"	"SRR3053294"	"SRR3053295"	"SRR3053296"	"SRR3053297"	"SRR3053302"	"SRR3053303"	"SRR3053304"	"SRR3053310"	"SRR3053311"	"SRR3053312"	"SRR3053313"	"SRR3053318"	"SRR3053319"	"SRR3053320"	"SRR3053321"	"SRR3053325"	"SRR3053326"	"SRR3053327"	"SRR3053328"	"SRR3053333"	"SRR3053334"	"SRR3053335"	"SRR3053336"	"SRR3053341"	"SRR3053342"	"SRR3053343"	"SRR3053344"	"SRR3053349"	"SRR3053350"	"SRR3053351"	"SRR3053352"	"SRR3053357"	"SRR3053358"	"SRR3053359"	"SRR3053360"	"SRR3053387"	"SRR3053388"	"SRR3053389"	"SRR3053390"	"SRR3053410"	"SRR3053411"	"SRR3053434"	"SRR3053458"	"SRR3053462"	"SRR3053463"	"SRR3053488"	"SRR3053489"	"SRR3053537"	"SRR3053538"	"SRR3053539"	"SRR3053540"
"MJ006-1-barcode39-umi142106bins-ubs-3"	0.307951401419463	0.682815802308568	0.595204029073428	0.603085553997195	0.425557662054778	0.846660395108184	0.361872784928185	0.394076537052431	0.568358546585607	1.43478729907584	1.80955727336613	0.880479183863526	0.0945015045634279	0.274581353758332	0.379420931388048	0.25385439470865	0.169351344964751	0.145788144934751	0.140252454417952	0.955983635204868	0.579920260964117	0.650654282466197	1.14097641250686	0.0702095484985958	0.0740119405930823	0	0.0496994734962026	0.646580162744667	0.750537634408602	0.61668210403159	0.97390625338915	0.0630080020162561	0.0731177404529122	0.162307260128597	2.20017974236927	2.19267436026091	2.57983544833357	2.92609097788615	0.263747483054933	0.182982616651418	0.401568920433321	0.342958630615182	1.21322739961349	1.70744970092442	0.991905759919058	0.63654985573005	0	0	0	0	0.704363908235942	0.30795627020963	0.597533260131253	1.48205928237129	0.938558944176922	0.702281399691483	2.28751147662675	1.20994688895923	0.370713623725672	0.251992800205708	0.360949106176029	0.341222593291709	0	0	0	0	2.29216635742408	1.96906558546383	3.85077430487299	1.28051093967371	0.872801950969067	1.13225387070086	0.857733571747877	1.40017624596103	0.8475546901844	0.393700787401575	0.34783860288826	0.221631205673759
"MJ006-1-barcode39-umi145585bins-ubs-3"	0.185252014916396	0.215412128109251	0.194585932581697	0.199158485273492	0.439675688758017	0.254163159545147	0.320835664987875	0.220128690619131	0.183797539940619	0.485454349311374	0.239371047083626	0.152390627976379	0.0621720424759394	0.0578066007912278	0.144541307195447	0.111789091247846	0.5750068922059	0.337801799239057	0.280504908835905	0.160358545260171	0.326205146792316	0.188665554023656	0.0767964893033461	0.110715057247786	0.155425075245473	0.300050777823939	0.13977976920807	0.0483835495931383	0.0666666666666667	0.0365621800809243	0.0607335748215951	0	0	0	0.146456745331691	0.0501756146512795	0.130153860456468	0.255051991367471	0	0	0.0529199352509028	0	0.125259466036791	0.0842849374660141	0.18790200187902	0.262108764124138	0.146797278604297	0.0644673661746399	0.0810372771474878	0.0309597523219814	0.135757289576201	0.127581883372561	0.155767217384643	0.0425471564317118	0.0133761369716426	0.0263862953641309	0.017581215448028	0.028138299743238	0.0852641334569045	0.0282849061455387	0.0417941070309086	0.0508203862349354	0	0	0	0	0.0543060143910938	0.0356646769531103	0.0611580717733657	0.0221322878462122	0.0487742266718008	0.179647795768822	0	0.0548320767649075	0.0435230786851449	0.0817686250757117	0.0623710598282397	0.0470966312056738
"MJ006-1-barcode39-umi74248bins-ubs-5"	0	0	0	0.0561009817671809	0.0100843047880279	0.0990246076149923	0.0223838836038053	0.0292478679843601	0.096140251661247	0.43870689345176	0.195449754040759	0.287848963955383	0	0	0	0	0	0	0	0.265208363314899	0	0.186246764869506	0.394953373560066	0.194426441996111	0.13815562244042	0.0923233162535198	0.198797893984811	0	0	0	0	0	0	0	0.249642179542656	0.265930757651781	0.213824199321341	0.26346029877519	0.0964238110093304	0	0.242809114680613	0.140858009002664	0.0304201560375063	0	0.06504300065043	0.0374441091605912	0	0	0	0	0	0	0	0	0.0713393971820938	0.0750994560363725	0.0879060772401399	0.0457247370827618	0	0	0	0	0.140471359450601	0.0769691268280168	0.0458495717233187	0.0707120970065212	0.309996832149161	0.285317415624883	0.24900072079156	0.287719742000759	0	0	0	0	0	0	0	0
"MJ006-1-barcode40-umi104736bins-ubs-4"	0.060146758089739	0.0975451146155097	0.108739197619184	0.0953716690042076	0	0.113878298757241	0	0.198577629999076	0	0	0.0197645818692902	0.0698457044891739	0	0	0	0	0	0	0	0.108961575625501	0	0.111264301090874	0	0	0	0	0	0.0461842973389048	0	0	0	0	0	0	0.266284991512166	0.0602107375815354	0.10691209966067	0.137335687659407	0	0	0	0	0	0	0	0	0	0	0	0	0.0118049817022784	0	0.0306427312887822	0.0195007800312012	0	0	0	0.070345749358095	0	0	0	0.0580804414113547	0.0289861535374256	0	0.0750265719108851	0	0	0	0	0	0	0	0	0	0.0503951437406941	0	0	0.0581781914893617
"MJ006-1-barcode40-umi126456bins-ubs-3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906125407756433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0411566816978026	0	0	0	0.446037884989978	0.806953583496354	0.400419487081705	0.337977296181631	0.251839609648605	0.266162204966895	0.280891703480504	0.0992766983406609	0.0713393971820938	0.0710400259803524	0.0586040514934266	0.0457247370827618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MJ006-1-barcode40-umi166439bins-ubs-3"	7.34752796824251	1.23557145179646	1.27911635094145	1.4726507713885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0150537634408602	0	0	0	0	0	0	0	0	0	1.91996823686226	1.55535224153705	1.16112563815216	1.65048840983556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MJ006-1-barcode42-umi125821bins-ubs-3"	0.832431131961987	0.0528369370834011	0.58948091340926	0.474053295932679	0.0423540801097172	0.16669142281857	0.272337250512964	0.0923616883716634	0.294076063904991	0.190585781581502	0.169096978215039	0.137574872478676	0	0	0	0	0	0.256018205739075	0.460829493087558	0	0	0.016931524079046	0	0	0	0	0	0	0	0	0	1.03963203326822	0.695663073451993	0.25282477058493	0.975268781413308	1.24937280481686	1.28294519592804	0.650242439530256	2.60344289725192	0.945410186032327	1.9486987921803	1.94751508099336	0.273781404337556	0.554649265905383	0.495049504950495	0.568269421378384	0	0	0.152540756983507	0.0748194014447884	0.192814701137213	0.160577198037879	0.227266923725135	0.104595092894625	0	0	0	0	0.285449490268767	0.131139110311134	0.125382321092726	0.159721213881226	0.265334790073357	0.886570312722711	0.927411791676219	0.555220909828981	0.307734081549532	0.442992829522844	0	0.496395598836474	0	0	0	0	0	0	0	0
"MJ006-1-barcode42-umi141606bins-ubs-3"	0	0.447081775321086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.559199029625213	1.55853570134107	0.362818373122415	0.570488206253428	0.394253618492115	0.204766368974194	0.212343627383096	0.12269557519375	0.279305036287662	0.0494623655913979	0.0170623507044313	0.0130143374617704	0	0	0	0	0	0	0	0.107767788775134	0.0440513706753414	0.463827667787324	0.168417184677098	0.0178942094338272	0.209352909189777	0.162607501626075	0.114534922138279	0	0	0	0	0	0	0	0	0	0	0	0	0.307692307692308	0.367703779892003	0.300157677767435	0.0834906345288224	0	0	0	0	0.991084762637462	0.769606186882907	1.66655745582421	0.74301252055141	0	0	0	0	0	0	0	0
"MJ006-1-barcode42-umi174216bins-ubs-3"	0.11067003488512	0.910421069744757	0.194585932581697	0.112201963534362	0.205719817675769	0.311927513987226	0.201454952434247	0.4664265262769	0.593807436731231	0.553777554029271	0.366742796907941	0.455055347429466	0.238740643107607	0.594324114384811	0.354577894213831	0.31906469793656	0	0	0	1.03821878662034	4.31315694092062	1.30130856493239	1.30554031815688	0.210628645495787	0.37746089702472	0.143101140192956	0.324599686272074	0	0	0	0	0.283536009073152	0.277847413721066	0.405768150321493	0.402756049662151	0.36628198695434	0	0.414809832114129	0	0	0.270825550989914	0.266405364852865	0	0	0	0	0	0	0	0	0.139692283476961	0.164976573326588	0.148106534562447	0.0638207346475677	0.599696807561976	0.61297393845904	0.488367095778555	1.50891632373114	0.296570898980538	0.107996914373875	0.11968312467942	0.188761434586903	0	0	0	0	0	0.204602620415212	0.146342528886268	0.14544074870368	0	0	0	0	0	0	0	0
"MJ006-1-barcode45-umi135865bins-ubs-3"	0	0	0	0	0	0	0.0149225890692035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10715057247786	0.325652538609562	0.263121451322532	0.569990836659574	0	0	0	0	0	0	0	0	0	0.0185934086366383	0	0.309123394118148	0.105045576225814	1.02415639397335	0.502189423400802	0	0	0	0	0	0	0	0	0	0	0	0	0.227394328517924	0.223268653081107	0.25004395303862	0.218071823010095	0.355885078776645	0.143995885831833	0.357149641900492	0.381152896762015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
