"X"	"ERR4856234"	"ERR4856126"	"ERR4856130"	"ERR4856132"	"ERR4856136"	"ERR4856142"	"ERR4856146"	"ERR4856150"	"ERR4856154"	"ERR4856156"	"ERR4856162"	"ERR4856164"	"ERR4856168"	"ERR4856174"	"ERR4856176"	"ERR4856180"	"ERR4856186"	"ERR4856190"	"ERR4856192"	"ERR4856198"	"ERR4856202"	"ERR4856204"	"ERR4856208"	"ERR4856214"	"ERR4856218"	"ERR4856220"	"ERR4856224"	"ERR4856228"	"ERR4856236"
"GB-GCA-900762515.1-CAAFHA010000156.1"	0	0.195013233040813	0.558860645393907	0.109456051016038	0	0.0541627978953884	0	0	0	0.115406809001731	0	0.315819695664657	0	0	0.154937131279423	0.0466595970307529	0.069808652693003	0	0.0243907396491799	0	0.175708324181858	0	0	0.0985869208018403	0	0	0.197021498522339	0	0
"GB-GCA-900767615.1-CAAFZU010000193.1"	1.57948123460368	0	0	0.214153143292248	0.0602264514574801	0.224388734138038	0.713505926388022	0	0	0	0	0	0	0	0.125141529110303	0	0.608588254246693	0.252381710283986	0.0955303969592878	0	0.344095468189472	0	0	0	0.642185238784371	0.0955192775269191	0	0.0214669051878354	0
"GB-GCA-902646515.1-CACRCQ010000098.1"	0	1.00292519849561	9.86118622678926	0.761433398372436	0	1.04456824512535	1.35293200249532	0.884062651380591	1.1889035667107	0.408732448547798	3.71934446553795	0.462245190927361	0	4.79749276759884	1.39741374173172	1.6118769883351	0.132457443571339	0	0	1.12028301886792	0.754081557947141	2.27826979848543	0.357830993669144	0.832511775659985	1.26628075253256	0	0	1.22361359570662	0
"GB-GCA-905205225.1-CAJLCQ010000073.1"	1.36212143167657	0	0.567874526771228	0.475895873982773	1.54781980245724	0.943980191891055	0.495165315034311	0.423865654771516	0.885072655217966	0.581842662050394	0.639262330014335	2.10163652024117	0.743730181608533	0.361620057859209	0.753828734878732	0	0.187946372635008	0.384256838180123	0.571149820118295	0.825471698113208	1.06889230543964	0.526248235143114	0.889989907330948	0	0	0	1.77898823665759	0.450805008944544	1.02064089405862
"GB-GCA-905205225.1-CAJLCQ010000084.1"	0	0	0	0.142768762194832	0	0.502940266171464	0	0.205877603746165	0	0.221196383919985	0.224710394792918	0	0	0.739312118289939	0	0	0.0572788945173358	0	0.341470355088518	0	0.388022549234937	0.449236298292902	0	0	0	1.05071205279611	0	0	0.444748546014369
"GB-GCA-905212915.1-CAJMGJ010000030.1"	0.702796696130995	0	0.829277086713539	0.204635225812592	0	0	0.280723643169058	0.528822864524463	0	0.355837661088671	0.298322420673356	0	0	0.654934104789457	0.378404147547822	0.178154825026511	0.116347754488338	0	0.65041972397813	0.837264150943396	0.512482612197086	0	0	0	0	0.538381382424453	0	0	0.108336184285551
"GB-GCA-910575355.1-CAJTEC010000002.1"	0	0	0	0	0.508913514815707	0	0	0	0.444738000880669	0	0.26732788346054	0	0.282502162006342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KF447772"	0	0	0	0	0.307154902433149	0	0	0	0.409511228533686	0	0	0.106230261269021	0.39780916690689	0	0	0.31389183457052	0	0.541142766194493	0.0548791642106547	0	0	0.346553715825953	0	0.394347683207361	0	0	0.295532247783508	0	0
"L34421"	0	0.34823791614431	0.982513070127997	0	0.539026740544447	0	0	0.331018892297756	0.546014971378248	0	0.116229514548061	0.157909847832328	0	0.0441980070716811	0.0953459269411835	0	0.0590688599710026	0	0.20935384865546	0	0	0	0	0.558659217877095	0	0	0.168047748739642	0.200357781753131	0.17105713308245
"LC371917"	0.499927546732358	0	0.630971696412475	0.233188978251559	0	0	0	0	0	0.0913637237930371	0.154972686064081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336314847942755	0
"LC468799"	0	0	0.243374797187669	0	0.0813057094675982	0	0.311915159076731	0	0	0	0.464918058192244	0	0	0	0.0983254871580955	0.627783669141039	0	0.229644619267411	0.833350271346979	0	0.241598945750055	0	0	0	0.217076700434153	0	0	0	0
"MJ005-barcode51-umi75914bins-ubs-3"	0	0	0	0	0	0.147013308573197	0	0	0	0.355837661088671	0	0	0	0	0	0	0	0	0	0	0.19767186470459	0	0	0	0	0	0	0	0
"MJ005-barcode57-umi81762bins-ubs-3"	0	0	0	0	0	0	0	0	0	0	1.7201968153113	0	0	0	0	2.87168610816543	0	0	0	3.95047169811321	0	0	0	0	0	0	0	0	0
"MJ006-1-barcode26-umi204238bins-ubs-3"	0	0	0.279430322696953	0.399752534145529	0	0	0	0	0	0.139449894210425	0	0	0	0.216972034715526	0	0	0	0	0	0.0825471698113208	0.19767186470459	0	0	0	0	0	0	0	0
"MJ006-1-barcode27-umi101444bins-ubs-4"	0	0	0	0	0	0.270813989476942	0	0	0	0	0.120103831699663	0	0	0	0	0	0	0	0	0	0.395343729409181	0	0	0	0	0	0	0	0
