"X"	"SRR16937040"	"SRR16937041"	"SRR16937044"	"SRR16937046"	"SRR16937047"	"SRR16937049"	"SRR16937050"	"SRR16937057"	"SRR16937058"	"SRR16937059"	"SRR16937063"	"SRR16937064"	"SRR16937065"	"SRR16937068"	"SRR16937073"	"SRR16937074"	"SRR16937076"	"SRR16937077"	"SRR16937080"	"SRR16937082"	"SRR16937083"	"SRR16937089"	"SRR16937092"	"SRR16937095"	"SRR16937097"	"SRR16937100"	"SRR16937101"	"SRR16937104"	"SRR16937107"	"SRR16937111"	"SRR16937112"	"SRR16937113"	"SRR16937115"	"SRR16937116"	"SRR16937120"	"SRR16937121"	"SRR16937124"	"SRR16937126"	"SRR16937130"	"SRR16937132"	"SRR16937135"	"SRR16937136"	"SRR16937139"	"SRR16937142"	"SRR16937143"	"SRR16937146"	"SRR16937148"	"SRR16937152"	"SRR16937155"	"SRR16937157"	"SRR16937158"	"SRR16937163"	"SRR16937164"	"SRR16937170"	"SRR16937171"	"SRR16937177"	"SRR16937179"	"SRR16937180"	"SRR16937181"	"SRR16937184"	"SRR16937187"	"SRR16937190"	"SRR16937191"	"SRR16937194"	"SRR16937200"	"SRR16937201"	"SRR16937203"	"SRR16937204"	"SRR16937206"	"SRR16937209"	"SRR16937211"	"SRR16937214"	"SRR16937215"	"SRR16937217"	"SRR16937221"	"SRR16937223"	"SRR16937227"	"SRR16937229"	"SRR16937233"	"SRR16937234"	"SRR16937238"	"SRR16937240"	"SRR16937244"	"SRR16937245"	"SRR16937246"	"SRR16937247"	"SRR16937255"	"SRR16937256"	"SRR16937257"	"SRR16937259"	"SRR16937263"	"SRR16937267"	"SRR16937268"	"SRR16937269"	"SRR16937272"	"SRR16937274"	"SRR16937275"	"SRR16937279"	"SRR16937281"	"SRR16937284"
"MJ006-2-barcode53-umi133722bins-ubs-4"	0	0.0461947107056242	0.824642866204867	0.515367566557184	0	0	0	0	0.106039053407474	0.0319086405239735	0.0972705299770088	0	0	0	0.111247595429578	0.190472562427382	0	0	0	0	0	0.0367795799771967	0.0712797455861388	0.0281668501779633	0.025890637945319	0	0	0.444575376951713	0.384269887214293	0	0	0	0	0	0	0	0	0.493901433187459	0.0290457986657672	0	0.139171927034147	0.264077008263055	0	0.165525330104801	0	0.0243553444759034	0	0.32413034670371	0	0	0	0	0	0.460765149399609	0.133794461414182	0	0	0	0	0.13403827537419	0	0	0	0	0	0	0	0	0	0	0	1.65780116075148	0	0	0	0	0.3402138487049	0.608448745436634	0	0.0255876009796396	0	0	0.1625346740638	0.0391310534553906	0	0	0.412108767794784	0.313277214463363	0.0627231496670848	0.207858556009116	0	0	0.0862192843799396	0.0561407260867241	0	0	0	0	0	0.0919175911251981
"MJ006-2-barcode53-umi141890bins-ubs-3"	0	0	0	0	0	0	0	0	0	0	0.123798856334375	0.184042195039838	0	0	0.0741650636197186	0.0723795737224053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0659829026655152	0	0	0	0	0	0	0	0	0	0.291717312033339	0	0	0	0	0	0	0	0	0	0	0	0	0.139402712991261	0.181866679599408	0	0	0.291521415611685	0.145788420677141	0	0	0	0	0	0.86717243651232	0	0	0	0	0	0	0.137947277223559	0	0.0877500877500878	0.0618442378230828	0	0.119764739363468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0729001584786054
"MJ006-2-barcode53-umi152854bins-ubs-3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49119129059546	3.42691084548744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40726976333485	0.761749494040927	3.15290933694181	0.114319797206621	0.129908850839083	0	0	0	0	0	6.62151993980436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40923230060968	0	0	0	0	0	0	0	0.381749653615479	0	0	0	0	0	0	0	0	0	0	0	0	0.568426080726057	2.18240678722929	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MJ006-2-barcode54-umi268101bins-ubs-3"	0	0	0	0	0.190206315626031	0.607081136172287	0.419121666767904	0	0.271563429458166	0	0	0	0	0	0	0.0780937505952268	0	0	0	0	0	0	0	0	0	0	0	0	0	0.350718650486272	0.145969809171176	0	0	0	0	0	0.0411987973457456	0	0	0	0	0	0.859266140269392	0	0	0	0	0	0	0	0	0	0	0.262961928697757	0.338272789235857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151178762407457	0.117897088252176	0	0	0	0.239684000613591	0	0	0	0.321316218898777	0.162664034799137	0	0	0.108356449375867	0.0794478964094294	0	0	0.116402651956071	0	0	0	0.132227119522945	0.374942443046024	0	0	0.149001688685805	0	0	0	0	0
"MJ006-2-barcode55-umi143393bins-ubs-4"	0.164597949271452	0.423451514801555	0	0	0	0	0	0	0	0	0	0	0.170862857430022	0.474199350603845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698877821643615	0.231140344073344	0	0	0	0	0	0	0	1.32900425617819	0.0932119749972585	0	0	1.499653259362	0.933216335436133	6.73513255314067	3.61687876758205	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MJ006-2-barcode58-umi170693bins-ubs-3"	0	0	0	0	0	1.88328089688483	1.05084128044706	0	0	0	0	0	0	0	0	0	0	0	0	1.73775671406003	0.352526439482961	0	0	1.39810001792436	1.5586164043082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152675918100275	0	0	0	0	0	0	0	0	0	0.0296076980014804	0	0	0	0	0	0	0	0	0	0	0	0.347709046043408	0	0	0	0	0.642392034338774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337049520352606	0.17979696099283	0	0	0	0	0	0	0	0
"MJ006-2-barcode58-umi188181bins-ubs-3"	0	0	0	0	0.0446402577489665	0	0	0.95868966141824	0	0.110840540767487	0	0	0	0	0	0	0	0	0.00904322662325918	0	0	0.338372135790209	0.537339620572431	0	0	0	0	0	0	0	0	0.0688849621132708	0.0462690333978296	0.014712373105782	0	0.522653156300955	0	0	0.44974139869575	1.16644113667118	0	0	0	0	0	0.0175054038420556	0	0	0.587479139416355	0	0.230716350726521	0.0298335493693805	0.520742212022353	0.356045797263334	0.0302930856032111	0	0	0.0112642861475275	0	0	0	0	0	1.86636804777902	0	0	0.453825260298778	0.526689486345284	0	0	0	0	0	0	0.0901211842307102	0.284144328604559	0	0	0	0	0	0	0	0	0	0	1.32670103316391	0	0	0	0.0414830178895515	0.0942837722279475	0	0	0	0.963498239762831	0.392630625188765	0	0	0
"MJ006-2-barcode60-umi113711bins-ubs-5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200634003450905	0.0724758878296259	0	0.0580326917496857	0	0	0	0	0	0	0	0.112482926698626	0	0.16567690851192	0.119268014810595	0	0.197694960881635	0.169192290716493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259347796671327	0	0	0.0257185770425694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0475133253280579	0.0806664288041202	0	0	0	0	0	1.19217794041969	2.38743698209422	0	0	0	0	0.0910194174757282	0.173125266802637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106136889372704	0
"MJ006-2-barcode60-umi141800bins-ubs-3"	0.264436049649217	0.392655040997806	0	0	0	0	0	0.137140491376968	0	0.0352674447896549	0.368448977185639	0.228930535293458	0.512588572290065	0.170524889626013	0	0.0933315555894173	0.194614983347378	0.108713831744439	0	0.157977883096367	0.334448160535117	0	0	0.624791949402095	0.383181441590721	0.203744368732031	0.829392249594127	0.0321379790567503	0	0	0	0	0	0.183904663822275	0.369617260825579	0.438213370603308	0	0	0	0	0.712759083453452	0.190603969673737	0.168369716674408	0.112557224471265	0.322675271340569	0.00456662708923189	0	0	0	0	0	0.502026623870955	0	0	0	0	0	0	0	0.290416263310745	0.651439601093775	0.584398263779432	0	0	0.103969176197174	0.0434263380740419	0.460615663196016	0.213007216811674	0	0.284216073326019	0.335075935032499	0	0	0	0	0	0.423123105952313	0.832512410422824	0.132900425617819	0.184596264210257	0.815278088005361	1.00870084449373	0.30123092926491	0.088934212398615	0.0429902077860043	0	0	0.0669600153051464	0.0796101515005307	0	0.515945035001296	0.578858508562282	0	0	0	0.060218639985177	0.159065740461089	0	0	0.0760697305863708
"MJ006-2-barcode60-umi164883bins-ubs-3"	0.51538046411225	0.43884975170343	0	0	0	0.101918730890238	0.303711352730365	0	0	0.102443530103283	0	0	0	0.154173187881053	0.0208589241430459	0.417134911715967	0.0160507202760724	0	0	0.567430763774704	0.33143511404381	0	0.0301568154402895	0.158758610093975	0.538525269262635	0.219591152966744	0.215289052022305	0.0241034842925627	0.114781914362711	0.144160426886995	0.0391626317288522	0	0	0	0.0100167279356525	0.016014442115071	0	0.0349321249405669	0.117120155910352	0.54871447902571	0.0347929817585367	0.0308799727404379	0.11611704598235	0.663993038477545	0	0.0220720309312875	0	0.0150489089541008	0.0327003743629065	0	0	0.0205748616340555	0	0.0395606441403705	0.0328175094034787	0	0	0	0	0.0409561396976692	0.0656801243901131	0.320085356094959	0	0.138249485020668	0.142702790858867	0.212478868433705	0.356496152105025	0.401640473490669	0	0.157225912903755	0.049640879264074	0	0	0	0	0	0	0	0.161499251383678	0.0986950323500384	0	0	0.0563453536754508	0.354551060095812	0.0119417243850012	0	0.235697295265087	0.0239142911804094	0	0	0.0337049520352606	0.247768982831583	0	0	0	0.0347415230683713	0.0563777307963354	0	0	0.256735340729002
"MJ006-2-barcode60-umi189791bins-ubs-4"	0	0	0	0	0.861751062632222	0	0.0364453623276438	0	0.274149747833958	0	0.235807345398809	0.179553361014476	0.266345042464445	0.254619355742951	0	0.356183691739205	0.501585008627262	0.172827117132185	1.7272562850425	0.348196150498114	0.732170297387689	0	0	1.02424909738048	0.429784589892295	0.219591152966744	0.561163266746665	0.0669541230348965	0.0399241441261603	0.583096652035459	0.544716604955853	0	0	0	0.207346268268008	0.181982296762171	0.129732383131284	0.135847152546649	0.0571546360842516	0.0737483085250338	0.232615935185645	0.00425930658488798	0.412215513237343	0.0425636563126632	0.0586682311528307	0.0136998812676957	0.176304333996747	0.0428315101001331	0.00789319381173605	0	0	0.187231240869905	0	0.0651587079959043	0.260015651427562	0.273505913965596	0.160375030841352	0.0944467069292689	0.0176061728773079	2.01429741603991	0.384697871427805	0.647445379373894	0.00638338617358555	0.0414748455062005	0.0489266711516115	0	0.23766410140335	0.102794527516082	0	0.16500082068471	0.341281044940509	0.0193781550058619	0	0	0.18024236846142	0.248626287528989	0.517468122820058	1.09907090842363	0.0252342580286998	0.0255876009796396	0.27920482465937	0.155676874520174	0.0758495145631068	0.0972347388891524	0.0119417243850012	0	0.299321105029896	0.550028697149416	0.0506610055003377	0.120207357692019	0.251490795955406	0.247768982831583	0.0323322316424774	0	0.787580354482113	0.460904206040393	0.0281888653981677	0	0	0.0475435816164818
"MJ006-2-barcode60-umi204079bins-ubs-3"	0.110631408526713	0.257920468106402	0	0.0587465619909744	1.18781903227685	0.0354499933531262	0	0	0	0	0.362553793550669	0	0.145735966631489	0.144829358312504	0	0.177139483057466	0.136431122346615	0.172827117132185	0	0	0	0	0	0.0998642869945971	0	0	0	0	0	0	0	0	0	0.0809180520818008	0	0	1.65496445508016	0.0834489651357986	0.298890637883217	0.476319350473613	0.128236989910035	0	0	0	0	0	0	0.00926086704867743	0	0	0.0282509817216148	0	0.0514567403184143	0	0	0	0	0.321465396979438	0.0091858293272911	0	0	0	0	0.207374227531002	0	0	0.0645088275237664	0.0211947479414601	0	0.039738417547103	0.0992817585281479	0.020347062756155	0	0	0	0	0.131511235633827	0.0811264993915513	0	0	0.051054596509142	0	0.0368411927877947	0.101977896883745	0	0	0.0260279221765127	0	0	0	0.0674099040705211	0	0	0	1.02030680157232	0	0	0	0	0.0697305863708399
"MJ006-2-barcode60-umi95568bins-ubs-5"	0	0	0	0	0	0	0	0	0.0724169145221777	0	0	0	0	0	0	0	0	0	0.149213239283776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3973836306632	23.7348590729094	11.2043197377302	0	0	0	0	0	0	0.0189171805834059	12.4523320621883	0	0.191753682852132	0	0	0.00950531618755347	0	15.3827953007016	0	0	0	1.74659916988556	0.73772514187022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155025240046895	0	0	0	0	0	0	0.0555153676631395	0.127938004898198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9804367428549	0	0
"MJ006-2-barcode61-umi190207bins-ubs-3"	0.782514840798705	0.288716941910151	1.39047474055467	0.218964458329995	0.0174679269452478	0.279168697655869	1.04476705339246	0.0194066733080615	0	0	0.0324235099923363	0.323196049826058	0	0.151837230488916	0.101976962477113	0.0571417687282147	0.409293367039846	0.579807102637007	0	0.167649998387981	0.0241043719304589	0.0478134539703557	0.0246737580875096	1.09594653419712	0.264084507042254	0.0135829579154687	0.261170325404108	0.854334609925279	0.494061283561234	0.309837335398916	0.279478780974081	0	0	0.117698984846256	0	0.569240624272071	0.00788913140663213	0.0261990937054252	0.325125552807136	0.267929634641407	0.0308166409861325	0.235326688815061	0	0.325375506034581	0.9533587562335	0.414040856090358	0	0.121548880013891	0.0541247575661901	0	0	0.01851737547065	0	0.316485153122964	0.207002751621942	0.556608526666827	0.402171231186775	2.5795215277838	3.20049603478367	0	1.50662162886708	0.266737796745799	0	0.257144042138443	0.0896988971112878	0	1.01403349932096	0.326399118298486	0	0.33518491322339	0.411088531405613	0.186999195806567	0.1213257596647	0	0	0.129536385099137	1.17502430098919	0.822854493828591	2.09444341638208	1.1002668421245	0	0	1.23959778085992	2.08698951762083	1.61213279197516	0.8428220584952	0.0954357146472132	1.71943753587144	0	0.0275475194710876	0	0.0350823338522595	0	0	0	0.287196590698536	0.285915634752844	0	0	0.13946117274168
"MJ006-2-barcode62-umi112167bins-ubs-4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131301926516198	0.077645231876897	0	0	0	0	0	0	0	0	0	0	0	0	0	0.339977136040559	1.21070789675441	0	0	0	0	0.149949562419913	0	0	0	0	0	0	0	0	0	0.00493461633358006	0	0	0.145208131655373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.535280859916782	0.501588957928189	0	0	0	0	0	0	0.121856365050557	0.0964764180937137	0.678976864492025	0.767256589851895	0	0	0	0	0	0
