"X"	"SRR3053242"	"SRR3053243"	"SRR3053245"	"SRR3053250"	"SRR3053251"	"SRR3053252"	"SRR3053253"	"SRR3053258"	"SRR3053259"	"SRR3053260"	"SRR3053261"	"SRR3053266"	"SRR3053267"	"SRR3053268"	"SRR3053269"	"SRR3053274"	"SRR3053275"	"SRR3053276"	"SRR3053277"	"SRR3053282"	"SRR3053283"	"SRR3053284"	"SRR3053285"	"SRR3053290"	"SRR3053291"	"SRR3053292"	"SRR3053293"	"SRR3053298"	"SRR3053299"	"SRR3053300"	"SRR3053301"	"SRR3053306"	"SRR3053307"	"SRR3053308"	"SRR3053309"	"SRR3053314"	"SRR3053315"	"SRR3053316"	"SRR3053317"	"SRR3053322"	"SRR3053323"	"SRR3053324"	"SRR3053329"	"SRR3053331"	"SRR3053332"	"SRR3053337"	"SRR3053338"	"SRR3053339"	"SRR3053340"	"SRR3053345"	"SRR3053346"	"SRR3053347"	"SRR3053348"	"SRR3053353"	"SRR3053354"	"SRR3053355"	"SRR3053356"	"SRR3053361"	"SRR3053362"	"SRR3053380"	"SRR3053386"	"SRR3053391"	"SRR3053392"	"SRR3053393"	"SRR3053459"	"SRR3053460"	"SRR3053461"	"SRR3053511"	"SRR3053512"	"SRR3053535"	"SRR3053536"	"SRR3053541"	"SRR3053542"	"SRR3053543"	"SRR3053544"
"MJ009-1-barcode40-umi125366bins-ubs-3"	0.0527945093710254	0.0181791739383362	0.0448184851352024	0.0163276730733346	0	0	0	0	0.0173181593270658	0	0	0.0638627862421312	0.137409824802473	0.104189625117714	0	0	0	0	0	0	0	0	0	0	0.0320281848026263	0.0254339670630127	0.0255145432896751	8.55470964606787	7.62578616352201	12.559049382973	11.0992009354902	7.18148158013905	13.8524491515224	13.4471744471744	10.8201152649564	14.320150922303	12.0251572327044	8.19823663253697	13.1255189070873	0	0	0	11.3005981360412	11.8163729901231	11.1814634814156	0	0	0	0.0167743017696888	0	0	0	0	0	0	0	0	0	0	0	0	11.0190584554117	9.63524284424202	7.87482641382943	10.9989736572015	12.2808154798561	15.4655432122011	0	0	0	0	7.82524847945409	4.18213373186135	4.51101928374656	12.0225218550896
"MJ009-1-barcode48-umi103602bins-ubs-3"	1.34625998896115	1.20709714950553	0.602559633484388	0.198264601604777	0.277416345469276	0.179775280898876	0.340857932986044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403148397005183	0.58451437264793	0.365613276530807	0.793785791234337	0	0	0.0291344973258694	0.0389787565776652	0	0	0	0	0.0279485746226942	0	0	0.00754773945203412	0	0.0454100880257091	0.0167682074786205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0910384068278805	0.268540202966432	0.0534577440831997	0.10288821929889	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MJ009-1-barcode48-umi64870bins-ubs-5"	0.0503947589450697	0	0	0	0	0	0	0	0	0	0	0.0228081379436183	0.0601167983510821	0.0821495121120439	0.199236260999502	0	0	0	0	0.258515125402513	0.277816363383803	0.407766990291262	0.560454341652967	0.0426612060322945	0.0400352310032829	0.0413301964773956	0.0992232239042921	0.0323965335709079	0	0.0603500301750151	0.0506723835509647	0.258384166644469	0.050547598989048	0.0614250614250614	0.0688529606773091	0	0	0	0	0.0691722388747982	0.0873270923571329	0.0894304398859762	0.0723327305605787	0.154157778693961	0.095831336847149	0.245989852918567	0.196332508736797	0.177609716970322	0	0	0	0	0	0	0	0	0	0.0881934566145092	0.181108508977361	0	0.0624678474314691	0	0	0	0	0	0	0	0	0	0	0	0.269970592489032	0.608356290174472	0.234108756852867
"MJ010-1-barcode30-umi76492bins-ubs-8"	0.0935902666122723	0	0	0.0886359395409591	0.0564652738565782	0.0968020743301642	0.0546658949128561	0	0	0	0.0391226102605566	0.0501779034759602	0.244761250429406	0.116211504938989	0.220583003249449	0	0	0	0	0	0	0	0	0.125850557795269	0.0840739851068941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317432129459033	0.216026463241747	0.17825311942959	0.23084533362647	0.0284495021337127	0.087431693989071	0	0.084515322995517	0	0	0	0	0	0	0.123653064829535	0.196903998826955	0.128470783257356	0	0	0	0	0
"MJ010-1-barcode41-umi133177bins-ubs-4"	0.122387271723741	0.236329261198371	0.490513420646382	0.10029856316477	0.321606559791815	0.176318063958513	0.697794070358222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442183213020431	0.081838969791792	0.0319410319410319	0.652828071607079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MJ010-2-barcode59-umi53667bins-ubs-11"	0	0	0	0	0	0	0	0.0646767778029299	0.0346363186541316	0.033965743121937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263221835263627	1.02201257861635	0.168563877385387	0.426817384525434	0	0	0	0	0.0139742873113471	0	0	0	0	0	0.0279470124643676	0	0	0	0.0179367601086455	0	0	0	0	0.0382436599182542	0	0.0144370975659053	0	0	0	0	0	0	0	0	0	0	0	0	0.0162058794930801	0	0	0	0	0	0.126094051327696	0.149448006556429	0.103305785123967	0.213364942954512
"MT500785"	0.203978786206235	0	0	0.0233252472476208	0.00736503572042324	0.017286084701815	0.0482346131584025	0.0485075833521974	0	0	0.0260817401737044	0.013684882766171	0.0128821710752319	0	0	0	0	0	0.0291046676610761	0	0	0.00970873786407767	0	0	0	0	0	0.0182230501336357	0.0937348814707305	0.0208103552327638	0.183200155915026	0	0	0	0.0204008772377212	0	0	0.0319965870307167	0	0.295134885865806	0.16417493363141	0.0642781286680454	0	0	0	0.00512478860247015	0.00392665017473593	0	0.0615057731555257	0.179825793762293	0.191218299591271	0.366426991150442	0.1068345219877	0.0110990255055606	0	0	0	0.0085348506401138	0	0	0.0367457926067465	0	0.0176685382229377	0	0.0855285665412248	0.0421352866820082	0.176520429297684	0	0.190619828651627	0.099461251554082	0.0757131692067214	0.103842159916926	0.110880779057995	0.0956535047444138	0.118536079419173
"RS-GCF-000173435.1-NZ-ABXX02000010.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023463663317762	0	0.0476886882431487	0.0340193910529002	0	0	0	0	0	0	0	0	0.419228619340414	0.41025641025641	0.28796928327645	0.301909578081365	0	0	0	0.406176102378634	0.306523025077527	0.773495790266274	0.850714908010045	1.1583618015471	0.607310645124327	0.749252145712768	0	0	0	0	0.661501920131413	0.17552150138392	0	0	0.27027027027027	0.39344262295082	0.646352723915051	0.448298669802308	0	0.390671011818289	0.351960925154432	0	0	0	0	0	0	0	0	0	0	0
"RS-GCF-000178275.1-NZ-ADMO01000058.1"	0.775119387583691	2.35238510762071	2.54469398934316	1.16159731293152	0.79542385780571	0.639585133967156	0.398739468776127	0	0	0	0	0.166499406988413	0.360700790106493	0.218397483419824	0.20397998149949	0	0	0	0	0.190484829243957	0	0	0	0.189842366843711	0.160140924013132	0.152603802378076	0.255145432896751	0	0	0	0	0.972270317785887	1.26609700324949	0.950859950859951	0.765032896414546	0.527529346003354	0.3096274794388	0.280858930602958	0.200015095478904	1.45722849896242	0.751012994271343	0.61203957296965	0.194741966893866	0.114722067865273	0.277226367307824	4.97873212729975	2.99210743314878	4.43164890569497	0.780005032290531	1.66900814835628	1.61579463154624	1.64892146017699	2.41677013253256	1.18315611889276	2.58556673192466	1.44699591066373	1.53072441464219	0	0	0	0	2.49608874982222	2.99972515607209	2.54034382033233	0	0	0	3.19731496202084	2.63725675024613	3.09158723580605	2.90396639312231	5.75582257825249	4.57262691028299	4.80945821854913	2.38553859831086
"RS-GCF-000273275.1-NZ-JH724268.1--2"	6.8416884643997	3.86489237929028	2.98540909317265	4.05159544691174	3.85927871750178	2.21607605877269	1.62068300212232	1.75597451734955	3.22117763483424	2.24173904604784	4.0322370308547	3.99598576772192	4.14805908622467	1.31839948706646	3.84952918574038	0	0	0	0	6.4492720758311	14.9696717136639	17.0339805825243	13.0062770886265	0	0	0	0.320349265748143	0.799789422531789	0	1.19035231931409	0.775677255895537	0	0	0	0	3.64030184460593	2.43444605708757	2.8405858930603	1.78504038040607	3.62462531703943	2.96213497275395	2.66614498910066	0.567533732090694	0.867585638231129	0.602368403039222	0	0	0	0.0615057731555257	2.88845181230683	3.45866099385711	2.04646017699115	2.78924724973291	0.554951275278031	0.580571119962195	0.426409422949215	0.571617016598879	0.315789473684211	0.324746291959407	0	0.929668552950687	0	0	0	0	0	0	0	0	0	0	3.98308856252782	7.82914718218194	8.36776859504132	4.4154689583642
"RS-GCF-000469425.1-NZ-KI271465.1"	0.22317678961388	0.258144269924375	0.278870574174593	0.177271879081918	0.417352024157317	0.345721694036301	0.627049971059232	1.015425411506	0.222662048490846	1.07719928186715	0.573798283821497	0.244047075996716	0.266231535554792	0.468853313029714	0.353407177249117	0.804941969299888	0.882623204526769	1.43297380585516	0.727616691526904	0.217696947707379	0.740843635690142	0.439320388349515	0.425945299656255	0.046927326635524	0.0320281848026263	0.0349717047116424	0.0396892895617168	0.230825301692719	0.0332607643928399	0.412045033608724	0.534008965114013	0.370261847047228	0.21663256709592	0.292383292383292	0.446269189575152	0.19564002235886	0.141267537493953	0.0568828213879408	0.196241225752887	0.0368918607332257	0	0.0363311162036778	0.127973292530255	0.190008424901859	0.150592100759806	0.456106185619843	0.465308045706208	0.369542798212444	0.36623892197154	0.0618151166057881	0.100389607285417	0.0967920353982301	0.207894204949037	0.312992519256809	0.280159319516641	0.129320890566565	0.14290425414972	0.0170697012802276	0.0343481654957065	0	0.0624678474314691	0.736026169819371	0.147237818524481	0.215486280706795	0.307902839548409	0.44728227400901	0.329504801355677	0.238473767885533	0.517396677768701	0.646498135101533	0.713169206721376	1.03100430203234	1.30646483150942	1.53810835629017	0.969032449251741
"RS-GCF-000702865.1-NZ-JNKM01000001.1"	0	0	0.0722075593844928	0.0186601977980967	0.0441902143225395	0	0.0257251270178147	0	0	0.0291134941045174	0	14.8184472219688	5.62950875987633	0.81949147448356	5.45765043523636	0	0	0	0	6.485554900449	8.63082835579016	5.53640776699029	5.81751606635779	0	0.0700616542557451	0	0	11.5878351016441	14.5530962747944	11.4561005556365	16.5230949132723	0	0	0.0466830466830467	0.0765032896414546	4.45081050866406	9.52491533623609	10.0931456200228	9.69507132613782	16.2877565137192	9.73871733966746	7.99564026605556	0	0	0	6.14462153436171	6.45148623709114	6.89813223329896	10.545444379211	0	0	0	0	10.4308641701259	11.5101599945993	10.7790709866834	6.54336594481697	7.1977240398293	6.9352068696331	9.40856295864315	7.12868376570883	9.30877542312616	28.5130943499941	20.7489345400565	6.26069107081765	12.2581272485658	11.5962154019959	3.79791556262144	1.76166237248371	7.79113137173643	8.04025009769441	6.54576472333482	12.8694017258834	13.5139271502908	10.9823677581864
"RS-GCF-001405735.1-NZ-CZBG01000049.1"	0.179981281946678	0.668993600930774	0.789303321547732	0.27990296697145	0.380526845555201	0.311149524632671	0.1318412759663	0.717912233612521	4.72290945076695	1.74195739725363	5.4354346522	0	0	0	0	6.24298015724448	5.95831116699715	3.03235747303544	5.37708735038382	0	0	0	0	0	0	0	0	0	0	0	0	0.404890652886178	0.440486219761704	0.41031941031941	0.303463048911103	0.150223588596982	0.11611030478955	0	0	0.470371224348628	0	0	0.35888162470441	0.200763618764228	0.687932096652748	1.58612207246451	0.952212667373464	1.43520110003438	0.276775979199866	2.24220286597359	2.3352534837584	2.38523230088496	3.7680824647013	0.113210060156718	0.320664281374468	0.185243437838594	0.175882158953501	0.688477951635846	1.45511319281811	0.597754774748506	1.20158741824061	1.95562508889205	2.19286191055793	1.7526217497486	5.86725966472802	7.17596343953586	8.47298060628883	0	0	0	0	0.218810265539237	0.260328785614424	0.279308233853688	0.548229367313676
"RS-GCF-001406755.1-NZ-CZBX01000028.1"	1.75901706222553	1.78883071553229	1.32214531148847	0.422186975181937	0.569562762379398	0.594641313742437	0.553090230883015	2.96219642337419	0.932706580900544	1.57698093066136	1.44492840562322	2.26712891159566	4.16952937135005	4.92496343344888	1.96864400749508	4.46929988768252	3.27900565846109	2.73959938366718	4.44209990177175	2.32663612862261	1.19461036255035	1.42718446601942	1.62905395307129	1.25210639704784	3.16278324925935	2.14599097094169	2.46640585133526	1.05491212440269	1.31228834059023	1.09462468524338	0.960826349639446	3.03667989664633	4.05102900469371	3.00737100737101	2.93262610292243	1.53018446059251	4.05805515239478	2.16865756541524	2.80775907615669	1.88148489739451	1.52647757440268	1.68241015035493	4.64320489636945	3.74459999641494	3.61421041823533	9.20155793573515	12.5593905838929	4.9959894580039	9.79339651653667	2.86035403203147	2.76549465783876	2.87264933628319	3.16749920595963	2.16209016848321	2.32565989333693	2.01321170179302	2.07760800263823	0.315789473684211	1.096018735363	0.325606259415853	0.621003895054016	2.59209216327692	3.24119517845224	5.01604175645262	2.58296270954499	2.2266878423492	1.48983242327245	2.42006712594948	1.62969479880182	3.20348114380439	2.64751856193826	1.63551401869159	1.74757749602275	1.68732782369146	1.38390872721885
"RS-GCF-001810545.1-NZ-KV801801.1"	0.0119987521297785	0	0	0.0629781675685762	0	0.0242005185825411	0.0225094861405878	0.0840798111438088	0.180603661553686	0	0.318197230119194	0.168780220782775	0.25334936447956	0.00801458654751648	0.211095562249472	0	0.0241814576582676	0	0.0218285007458071	0.0136060592317112	0.0509329999536973	0	0.0597817964429831	0	0	0	0.00850484776322504	0.0526443670527254	0.934325108853411	0.274696689072482	1.16351588384331	0.0159825257718228	0	0.0196560196560197	0	0.639323644494131	0.408321238509918	0.906569965870307	0.275492489999245	0.166013373299516	0.17116110101998	0.136940361075401	0.356099596605926	0.034058113897503	0.0752960503799028	0.427919848306257	0.308242038716771	1.65864558267446	5.33702367972267	11.8685023883113	12.113679279107	14.0694137168142	8.78930499812318	0.0532753224266909	0.482684128805779	0.419419104540212	0.780477080356161	0.116642958748222	0.0374707259953162	0.267288720415998	0.194752700815757	0	0.0314107346185559	0.00957716803141311	0	0.463488153502091	0.0376576915835059	0.644762409468292	0.997088334485431	0.219643597181931	0.163638139898398	0.129802699896158	0.870173070433399	0.466789103152739	0.560082975255593
"RS-GCF-002885675.1-NZ-PJKZ01000003.1"	0	0	0	0	0	0	0	1.04776380040746	1.00445324096982	0	0.17735583318119	0	0	0	0	0	0	0	0	6.00480747426187	3.9959253600037	1.61165048543689	3.7475713645195	2.65139395490711	1.32116262310834	1.51332104024925	1.15098939728979	0.0323965335709079	0.0151185292694727	0.455746779597528	0.691872929253557	4.53370981060707	0.601757130822	0.877149877149877	2.7592186464018	0	0	0	0	0	0	0	0	0	0	1.82954953108184	1.50979699218597	1.49535922997594	0.00559143392322961	0	0.0979993785405263	0	0	0.619325623210282	0.695335178559374	1.24078151759813	1.55820600197867	0	0	0	0	0	0.00588951274097923	0	0	0	0	0	0	0	0	0	0	0	0
"RS-GCF-002959815.1-NZ-PPCZ01000008.1"	0	0	0	0	0.00982004762723099	0.020743301642178	0	0	0.0222662048490846	0.0145567470522587	0.023473566156334	0.0638627862421312	0.386465132256956	0.0761385722014066	0.0498090652498755	0.0467989517034818	0.0241814576582676	0.0061633281972265	0	0	0	0	0	0	0	0	0	0	0	0.043701745988804	0	0	0	0	0	0.0908328675237563	0.152878567972908	0.142207053469852	0.116989961506529	0	0.0384239206371385	0.0614834274216086	0.0306023090833217	0.0179253231039489	0.0513382161681155	0	0	0	0	1.46108457431863	0.561703755049358	0.943722345132743	0.692980683163457	0	0	0.0489322288630247	0	0.136557610241821	0.0999219359875098	0.140934052582981	0.113911957080914	0	0	0	0	0	0	0.105988341282459	0	0	0	0	0.0192836137492166	0.0153045607591062	0.0503778337531486
"RS-GCF-003436725.1-NZ-QSQN01000078.1"	0.583139353507235	0.563554392088424	0.649868034460435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403646423874099	0.101865999907395	0.213592233009709	0.291436257659543	0	0	0	0	0.0202478334818174	0.0241896468311563	0	0	0	0	0	0	0.262017887087759	0.274794388001935	0.16353811149033	0.06415578534229	0.133732995157943	0.104792510828559	0.22357609971494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132888211843257	0.0353040858595368	0.158982511923688	0.169672594733865	0.116038126813096	0.219812426729191	0	0	0	0
"RS-GCF-003460985.1-NZ-QTWF01000009.1"	0	0	0	0.695092367979101	0.471362286107088	0.549697493517718	0.437327159302849	0.0161691944507325	0	0	0	0	0	0.0240437596425494	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941524256904511	0.0241896468311563	1.55869560693401	2.2003508088092	2.51724780906209	1.30701648814538	3.07125307125307	2.13954200030601	0.356344326439352	0.14707305273343	0.32707622298066	0.532115631368405	0.0507263085081854	0	0.011178804985747	0.0918069272499652	0.749278505745066	0.475734136491204	4.03833341874648	3.35532257431185	3.20556892402888	0.833123654561212	1.3880303456027	3.0427611922461	1.97386615044248	1.32532555655011	0.215321094807876	0.283534733004793	0.227185348292615	0.129163460481477	0.0540540540540541	0.078064012490242	0	0.0183728963033733	0	0	0	8.41601094765652	2.31419959161184	1.0591225757861	0.0529941706412295	0.148725360816104	0.447575631993369	0.551973427119969	0.422785936804628	0.327821433736682	0.352004897459443	0.521558749444362
"RS-GCF-003461005.1-NZ-QTWG01000138.1"	0.491948837320919	0.279959278650378	0.398386534535133	0.0793058406419108	0.0982004762723099	0.0726015557476232	0.0482346131584025	1.05423147818776	0.316674913409203	0.630792372264545	0.333846274223416	0.152814524222242	0	0.544991885231121	0.194492540499514	0	0	0	0	0	0	0	0	0.646317271389262	0.314276563375771	0.225726457684237	0.277825026932018	0.311816635619989	0.108853410740203	0.247643227269889	0.224127850321575	0.218427852214912	0.235888795282224	0.339066339066339	0.272861733054521	0.0768585802124092	0.20899854862119	0.241751990898749	0.517020152464337	0	0	0	0.492418973431632	0.345958735906215	0.390170442877678	0.263926613027213	0.245415635920996	0.570069898017646	1.3028041041125	0.0393368923855015	0.0310729736835815	0.0345685840707965	0.0548609707504403	0.921219116961531	0.452305407412408	0.394952990108699	0.824447620094537	0.0455192034139403	0.0499609679937549	0.0340185644165816	0	0.113781823353719	0.137421963956182	0.478858401570656	0	0	0	0	0	0	0	0.0704643228007714	0.132574844525864	0.198959289868381	0.22225514891095
