	G000160055	G000434535	G004558915	G900538515	G902387315	GB-GCA-000980215.1-LARH01000082.1	GB-GCA-015554585.1-JADNIT010000076.1	GB-GCA-018336475.1-CP048741.1--6	GB-GCA-900545115.1-UQXN01000021.1	GB-GCA-902646515.1-CACRCQ010000098.1	MJ006-1-barcode28-umi157746bins-ubs-3	MJ006-1-barcode39-umi169144bins-ubs-3	RS-GCF-000210395.1-NC-017175.1--13	RS-GCF-001487165.1-NZ-LN913006.1	RS-GCF-003438725.1-NZ-QSTT01000002.1	RS-GCF-003439785.1-NZ-QSVN01000017.1	RS-GCF-003461545.1-NZ-QTXH01000007.1	RS-GCF-003473495.1-NZ-QUCI01000034.1	RS-GCF-003474085.1-NZ-QRNS01000091.1	RS-GCF-003602705.1-NZ-QTLK01000079.1	RS-GCF-009663755.1-NZ-RDBS01000044.1	RS-GCF-009881395.1-NZ-WWVG01000042.1	RS-GCF-019052355.1-NZ-JAHQUT010000188.1	RS-GCF-019130915.1-NZ-JAHOLF010000125.1	RS-GCF-900217715.1-NZ-OBMS01000001.1	RS-GCF-902167665.1-NZ-CABHNA010000090.1
MJ006-1-barcode39-umi169144bins-ubs-3	0.0305971340855663	0.0766950605867261	0.09007513933768	0.0467340987933828	-0.021570525625138	0.0138554498689675	0.0472787757101463	0.102285671221912	0.0562837702237503	-0.00586571681146666	0.0774129645564558	1	0.163059783516965	0.0846377112556936	0.0318369993767182	0.0643900119603589	0.0991898508247909	-0.0292917819629778	-0.0163873841264869	-0.0271432041188897	-0.0163311594732192	-0.0641906723000801	-0.0207515053826088	-0.0937260334027676	-0.0202008542662294	-0.0230701424341605
RS-GCF-000210395.1-NC-017175.1--13	0.0396978773702085	0.11519458590073	0.125171735890394	0.0666456684411241	-0.0087612994889586	-0.0281006679199628	-0.0895732622504678	0.167437782856232	0.0410015771537738	0.0593210889269605	-0.0144728493566129	0.163059783516965	1	-0.0474870432428939	0.0767849807720204	0.025029934760652	0.0870748093496675	0.0639221154929118	-0.0317912013854608	0.0504622408619061	0.0681757572095231	-0.0422041183779817	-0.000987974117397938	-0.000502268448327066	0.029007569820717	-0.0438330346527587
RS-GCF-001487165.1-NZ-LN913006.1	-0.00628966833660341	0.0956044394068471	0.0787068696941265	0.050932243233415	0.0562422400999284	0.1535503166258	0.0305720100391636	0.106364000885405	-0.0512093899705819	-0.0560722587267366	0.0553117957715279	0.0846377112556936	-0.0474870432428939	1	0.0251971930440641	-0.0164937271353405	0.0958591042399184	-0.0215880108826384	0.220515109424234	0.0277404446220854	0.0304399005142945	-0.0112449027515842	-0.0648030362455788	0.00733466469939142	0.0241409931577219	0.0230086561269235
RS-GCF-003438725.1-NZ-QSTT01000002.1	0.106925970801562	0.0489634304995649	0.199706444517284	0.0295644262856584	0.0528594084906067	0.123999324027775	0.0386177359589809	0.0410853957797417	0.109268653991881	0.0566672223553903	0.0468769868318536	0.0318369993767182	0.0767849807720204	0.0251971930440641	1	0.00520401287091824	0.0127544831552446	0.0377011682294986	-0.036266727367137	-0.0136922018759817	-0.0441905114943978	-0.0338619046444351	0.041017286896642	0.00818060983560183	-0.0244356630121594	0.0115602248422263
RS-GCF-003439785.1-NZ-QSVN01000017.1	-0.0217041823164795	-0.00995923837395155	-0.0311950448213003	0.0455369151577566	-0.0405250663621491	-0.115449901271858	0.262180798305	-0.0341245616376534	0.0162003226895843	0.000233395095999342	0.0185439498119124	0.0643900119603589	0.025029934760652	-0.0164937271353405	0.00520401287091824	1	-0.0279984695144847	0.118572327530521	-0.0557806219216945	0.107398694192403	0.00260727639580844	0.212638923135024	0.0323136283981402	0.0984771837430192	-0.0237007251679151	0.154006190040062
RS-GCF-003461545.1-NZ-QTXH01000007.1	0.0945057906407439	-0.0118939029472186	-0.00475257101113721	0.0453383713380046	0.0884044914617492	0.0192828866844927	0.0437165385803626	0.150802981199699	0.0910046901866922	0.036909679099677	0.125985300386471	0.0991898508247909	0.0870748093496675	0.0958591042399184	0.0127544831552446	-0.0279984695144847	1	-0.0203345963458901	0.0517765244014571	0.0811638115324889	0.0517953838751325	-0.0175690157128924	0.1009644560296	0.0205012266364997	-0.0267346834561266	-0.00383002836033566
RS-GCF-003473495.1-NZ-QUCI01000034.1	0.0489406644634753	0.0251365378843909	-0.00731314286585648	0.0414232772944982	0.100318669049041	-0.100393389549401	0.22682544356909	0.000102846822241738	0.0475046172363973	-0.077797331082109	0.0470718719373569	-0.0292917819629778	0.0639221154929118	-0.0215880108826384	0.0377011682294986	0.118572327530521	-0.0203345963458901	1	0.0279589273663168	0.0123384851394879	0.0336667801428069	-0.0940687850364961	0.0461586616479312	0.0891263460246322	-0.0211125592020853	0.201582441931711
RS-GCF-003474085.1-NZ-QRNS01000091.1	-0.0278866999198961	0.0654496321714393	0.0042462373530383	-0.0517602893801813	0.0156852023378203	0.0675239350117668	0.0747744087136445	0.066071459049612	0.0113414330242444	0.0548323348329483	0.0221779582888318	-0.0163873841264869	-0.0317912013854608	0.220515109424234	-0.036266727367137	-0.0557806219216945	0.0517765244014571	0.0279589273663168	1	0.0126191099480794	0.0419652398134754	0.153679605661609	0.0597495741945755	-0.0633271692698897	0.0398433567534042	0.125774227054901
RS-GCF-003602705.1-NZ-QTLK01000079.1	0.041643314682736	0.0225871073307751	-0.00437491046879376	-0.0228950953493518	0.0271593890380363	0.0218733014942498	-0.00261349118662826	0.00838347286660959	-0.00242613253499823	0.100248294903242	0.0141580383987918	-0.0271432041188897	0.0504622408619061	0.0277404446220854	-0.0136922018759817	0.107398694192403	0.0811638115324889	0.0123384851394879	0.0126191099480794	1	0.0445906793195337	0.0125206414542953	0.123134964044252	0.229587527624377	0.0597339709646959	0.0559135991288782
RS-GCF-009663755.1-NZ-RDBS01000044.1	-0.0507811989299771	-0.016121791726942	0.108239220208167	0.0528892089438543	0.100829816774686	-0.0310045470610849	0.0759327358369253	-0.00825423830826402	0.0259995960014769	0.216429490758798	0.0873817177705485	-0.0163311594732192	0.0681757572095231	0.0304399005142945	-0.0441905114943978	0.00260727639580844	0.0517953838751325	0.0336667801428069	0.0419652398134754	0.0445906793195337	1	0.0110584909623365	-0.00819992080432583	0.0719768455492852	0.189116231207308	0.0623719967914797
RS-GCF-009881395.1-NZ-WWVG01000042.1	0.0408928942702482	-0.00965999355956441	-0.0733896141383386	0.0312874768391258	0.0478846185903745	-0.0432241038990935	0.198308774072444	0.0428549548855368	0.0467868983154661	0.0411209320165414	0.0855556271288841	-0.0641906723000801	-0.0422041183779817	-0.0112449027515842	-0.0338619046444351	0.212638923135024	-0.0175690157128924	-0.0940687850364961	0.153679605661609	0.0125206414542953	0.0110584909623365	1	0.0392317933292324	0.0310192915481682	-0.00397918565110383	0.200337297752246
RS-GCF-019052355.1-NZ-JAHQUT010000188.1	0.0290206121612245	0.0956602786634727	-0.0216744127109429	0.131946968140901	0.142843436419084	-0.00480209432260805	0.00249155472190857	0.044810109683886	0.0299068216033531	0.0496554578623489	0.0193930840981973	-0.0207515053826088	-0.000987974117397938	-0.0648030362455788	0.041017286896642	0.0323136283981402	0.1009644560296	0.0461586616479312	0.0597495741945755	0.123134964044252	-0.00819992080432583	0.0392317933292324	1	0.171186956318821	0.00632561723719723	0.0757472449475259
RS-GCF-019130915.1-NZ-JAHOLF010000125.1	0.0663400996462347	-0.00429335174946877	0.0232201800679874	-0.00302624031053679	-0.00735989354207932	0.108266201444703	0.0246877761336227	-0.0997931821299568	-0.0406266246674125	0.117588015418881	0.0858580280221596	-0.0937260334027676	-0.000502268448327066	0.00733466469939142	0.00818060983560183	0.0984771837430192	0.0205012266364997	0.0891263460246322	-0.0633271692698897	0.229587527624377	0.0719768455492852	0.0310192915481682	0.171186956318821	1	0.0534111136089271	0.0857416552145658
RS-GCF-900217715.1-NZ-OBMS01000001.1	0.0471591445071792	0.0396320162460822	0.152539206755685	-0.00769511313174804	-0.00286208035389546	0.0719819120577658	0.0358860001224999	-0.0191001793316544	-0.0108095171495444	0.0923970882809248	0.0753394876855039	-0.0202008542662294	0.029007569820717	0.0241409931577219	-0.0244356630121594	-0.0237007251679151	-0.0267346834561266	-0.0211125592020853	0.0398433567534042	0.0597339709646959	0.189116231207308	-0.00397918565110383	0.00632561723719723	0.0534111136089271	1	-0.00350164172995887
RS-GCF-902167665.1-NZ-CABHNA010000090.1	-0.0562958904217406	-0.0180103078237555	-0.0560445094745661	0.0335443602182505	0.00917902268878059	-0.0838740165084077	0.248440488994074	0.0388864426995501	-0.00162686063873957	-0.0610095016487478	-0.0445988520789671	-0.0230701424341605	-0.0438330346527587	0.0230086561269235	0.0115602248422263	0.154006190040062	-0.00383002836033566	0.201582441931711	0.125774227054901	0.0559135991288782	0.0623719967914797	0.200337297752246	0.0757472449475259	0.0857416552145658	-0.00350164172995887	1
