"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_otu","Study","CI_low","CI_hig"
"23","",-4.8002343600256e-05,"","","",0.999541314410479,"GH20","Combined",-0.163705336920166,0.163609332232965
"24","",0.0366608334791279,"","","",0.673823657466096,"GH23","Combined",-0.134051624340119,0.207373291298375
"25","",0.0171439928422985,"","","",0.855928646599068,"GH26","Combined",-0.167928440500393,0.20221642618499
"26","",-0.433153102211082,"","","",0.0378198724540534,"GH27","Combined",-0.841937682832171,-0.0243685215899939
"27","",-0.335247001177812,"","","",0.0492622017181073,"GH28","Combined",-0.669411136313526,-0.00108286604209812
"28","",-0.00389697292114792,"","","",0.9603079426819,"GH29","Combined",-0.157370221424384,0.149576275582089
"29","",0.00450584275551844,"","","",0.949475922377285,"GH3","Combined",-0.134866064970709,0.143877750481746
"30","",0.0923381448322843,"","","",0.310364965725085,"GH30","Combined",-0.0860622443296507,0.270738533994219
"31","",0.0431796604369283,"","","",0.538350959632409,"GH31","Combined",-0.0943620277258324,0.180721348599689
"32","",0.00258388813849927,"","","",0.977469559076809,"GH32","Combined",-0.176738470293717,0.181906246570716
"33","",0.00550606461967179,"","","",0.944435652135318,"GH33","Combined",-0.149333431437343,0.160345560676686
"34","",-0.015011830551912,"","","",0.9176638897223,"GH37","Combined",-0.29962728380136,0.269603622697536
"35","",-0.00438468043056183,"","","",0.960493901038286,"GH38","Combined",-0.177878649673815,0.169109288812691
"36","",-0.0445724205028904,"","","",0.757205024473448,"GH39","Combined",-0.32715190178606,0.238007060780279
"37","",-0.0313161766673406,"","","",0.800075724675762,"GH4","Combined",-0.273680622698715,0.211048269364034
"38","",-0.0200323771732835,"","","",0.799406091104411,"GH43","Combined",-0.174539639392639,0.134474885046072
"39","",-0.0864850170646988,"","","",0.628150961167055,"GH48","Combined",-0.436467797388891,0.263497763259494
"40","",0.0126825189281144,"","","",0.867013015493976,"GH5","Combined",-0.135760119744293,0.161125157600521
"41","",0.00854187552374585,"","","",0.910313887268849,"GH51","Combined",-0.140085412178682,0.157169163226173
"42","",0.0245267147451658,"","","",0.799379149582545,"GH57","Combined",-0.164618862630224,0.213672292120555
"43","",-0.358315621811555,"","","",0.0732427164660306,"GH6","Combined",-0.750365934853699,0.0337346912305896
"44","",0.00633357887835475,"","","",0.952146449990038,"GH63","Combined",-0.200519771949235,0.213186929705944
"45","",0.0278033044258318,"","","",0.759597883747654,"GH65","Combined",-0.15027477983326,0.205881388684924
"46","",-0.0574887651675214,"","","",0.587165220044729,"GH66","Combined",-0.26501470315081,0.150037172815767
"47","",-0.123490646585283,"","","",0.343104940040416,"GH68","Combined",-0.378791201261882,0.131809908091316
"48","",-0.123367181250041,"","","",0.38552445004188,"GH73","Combined",-0.402009409346061,0.155275046845979
"49","",0.0176639801526338,"","","",0.814905089851791,"GH77","Combined",-0.13022297048481,0.165550930790078
"50","",-0.0129968485245711,"","","",0.899243001403175,"GH8","Combined",-0.214180084756719,0.188186387707576
"51","",0.0296037121613621,"","","",0.889787325812669,"GH84","Combined",-0.389107543312877,0.448314967635601
"52","",-0.00151879023165371,"","","",0.986214007720757,"GH88","Combined",-0.173795395906477,0.17075781544317
"53","",0.0199022871505788,"","","",0.794649971539647,"GH9","Combined",-0.129967807385458,0.169772381686616
"54","",-0.130023417131342,"","","",0.327648604149064,"GH94","Combined",-0.390368024743584,0.1303211904809
"55","",-0.0320839570876511,"","","",0.698767739512729,"GH95","Combined",-0.194579904074992,0.13041198989969
"56","",0.0538824259460397,"","","",0.604331872536846,"GH97","Combined",-0.149921997517881,0.25768684940996
"57","",0.0281850751158407,"","","",0.842556800300784,"GH99","Combined",-0.249936926124579,0.306307076356261
"58","",-0.0760299866601307,"","","",0.457628474375577,"GT1","Combined",-0.276655390819051,0.12459541749879
"59","",-0.118043386386471,"","","",0.524156845421684,"GT10","Combined",-0.481275146524796,0.245188373751853
"60","",-0.289135809024151,"","","",0.109071608221006,"GT12","Combined",-0.642794602766985,0.0645229847186826
