fid	AUC	study
202	GH3	0.492820512820513	PRJNA306884
203	GH3	0.499423559804916	PRJNA428736
204	GH30	0.569159240604417	PRJEB41443
205	GH30	0.606736751770006	PRJNA560950
206	GH30	0.532972972972973	PRJNA780023
207	GH30	0.499682942295498	PRJNA891951
208	GH30	0.49125	PRJNA293971
209	GH30	0.541538461538462	PRJNA306884
210	GH30	0.498825993529383	PRJNA428736
211	GH31	0.628826036419992	PRJEB41443
212	GH31	0.567796610169492	PRJNA560950
213	GH31	0.522567567567568	PRJNA780023
214	GH31	0.537056119213697	PRJNA891951
215	GH31	0.52375	PRJNA293971
216	GH31	0.550940170940171	PRJNA306884
217	GH31	0.519312255541069	PRJNA428736
218	GH32	0.473847345989926	PRJEB41443
219	GH32	0.472001716369878	PRJNA560950
220	GH32	0.471216216216216	PRJNA780023
221	GH32	0.501228598604946	PRJNA891951
222	GH32	0.47375	PRJNA293971
223	GH32	0.548205128205128	PRJNA306884
224	GH32	0.534435511130426	PRJNA428736
225	GH33	0.54087562960093	PRJEB41443
226	GH33	0.465994421797897	PRJNA560950
227	GH33	0.503918918918919	PRJNA780023
228	GH33	0.541534559289791	PRJNA891951
229	GH33	0.44	PRJNA293971
230	GH33	0.492136752136752	PRJNA306884
231	GH33	0.491978125452702	PRJNA428736
232	GH37	0.540294459511817	PRJEB41443
233	GH37	0.496674533361939	PRJNA560950
234	GH37	0.495608108108108	PRJNA780023
235	GH37	0.49029010779962	PRJNA891951
236	GH37	0.4925	PRJNA293971
237	GH37	0.525299145299145	PRJNA306884
238	GH37	0.487324351731131	PRJNA428736
239	GH38	0.503680743897714	PRJEB41443
240	GH38	0.513945505256383	PRJNA560950
241	GH38	0.532635135135135	PRJNA780023
242	GH38	0.56178662016487	PRJNA891951
243	GH38	0.55875	PRJNA293971
244	GH38	0.461025641025641	PRJNA306884
245	GH38	0.475949466415568	PRJNA428736
246	GH39	0.454475009686168	PRJEB41443
247	GH39	0.458914396052349	PRJNA560950
248	GH39	0.518682432432432	PRJNA780023
249	GH39	0.482324032974001	PRJNA891951
250	GH39	0.5	PRJNA293971
251	GH39	0.490598290598291	PRJNA306884
252	GH39	0.512956323337679	PRJNA428736
253	GH4	0.429290972491282	PRJEB41443
254	GH4	0.415146964170779	PRJNA560950
255	GH4	0.54277027027027	PRJNA780023
256	GH4	0.486207989854153	PRJNA891951
257	GH4	0.43125	PRJNA293971
258	GH4	0.47025641025641	PRJNA306884
259	GH4	0.563142836447921	PRJNA428736
260	GH43	0.442464161177838	PRJEB41443
261	GH43	0.416863334048487	PRJNA560950
